x,y,z,Type,State,extra
46,4,8,1,7,27512.7|41140|2|1
48,9,9,1,7,31778.1|35575|6|0
6,20,0,6,16,0
30,39,7,1,8,45757.2|29335|-1|0
31,25,11,1,8,31380.1|36231|-1|0
3,9,15,1,7,28319.5|2545|2|1
26,46,13,6,16,0
25,7,7,5,13,39437.7
46,13,30,1,7,23596.6|27643|2|1
30,38,24,1,8,34968.1|31726|-1|0
47,24,12,1,8,42994.9|6959|-1|0
39,48,9,6,16,0
48,48,1,2,5,0
15,28,25,5,13,18652.3
49,38,7,3,10,0
28,6,44,1,7,33759.3|11674|1|2
13,29,47,6,16,0
14,11,22,1,7,21179.5|11746|2|1
48,41,2,2,4,0
43,32,40,1,7,32137.8|525837|2|3
3,34,21,1,7,39166.2|16871|3|5
46,6,3,1,7,34204.2|7620|0|7
27,29,23,1,7,36706.2|42790|1|1
33,26,26,1,8,27457.7|33976|-1|0
47,5,34,1,7,31873.5|40410|1|2
10,11,4,1,8,19680.3|6959|-1|0
27,21,12,6,16,0
28,22,24,1,7,20297.3|23627|4|2
6,44,41,1,7,25648.3|22377|6|9
23,36,18,1,8,31380.1|36231|-1|0
23,34,1,6,16,0
0,14,33,1,8,32508.9|994|-1|0
3,8,33,1,8,27179.5|422378|-1|0
45,11,20,1,8,21393.7|23627|-1|0
21,16,21,1,8,27457.7|33976|-1|0
39,14,28,1,7,22918.8|27643|2|1
5,21,24,1,7,20914.7|7749|1|2
28,24,0,3,9,0
40,16,7,1,7,35731.3|433520|3|1
0,39,26,8,19,0
1,18,32,1,8,30401.5|28579|-1|0
17,2,44,1,7,38757.7|41583|6|1
16,26,8,1,7,29859.7|493168|1|1
3,6,18,1,7,28319.5|2545|2|1
44,49,0,2,4,0
2,37,7,1,7,38458|299842|2|1
6,38,22,1,7,33422.8|32231|2|1
13,21,1,1,7,24532.3|27643|4|1
2,24,0,6,16,0
15,16,9,1,7,29859.7|493168|1|1
2,4,17,1,8,25268.5|27501|-1|0
6,24,4,1,7,23668.7|6959|1|1
46,49,7,3,9,0
22,28,39,1,8,32508.9|152395|-1|0
2,30,5,1,7,27650|7107|6|3
2,20,39,1,8,30719.8|13084|-1|0
2,46,17,6,16,0
47,41,0,2,4,0
22,16,20,1,8,25042.3|27194|-1|0
41,40,0,2,4,0
40,43,16,1,7,46791.1|40830|3|3
11,24,35,1,8,22091.1|26333|-1|0
38,24,31,1,8,27457.7|33976|-1|0
19,8,24,1,8,27457.7|33976|-1|0
13,38,25,1,7,37891.9|11877|5|1
41,18,21,1,8,21578.1|23627|-1|0
37,28,40,1,8,33085.4|29786|-1|0
37,3,9,1,7,22527.4|433520|3|1
46,26,6,1,8,47714.2|35575|-1|0
18,12,43,1,7,38757.7|41583|6|1
19,23,10,1,7,29351.8|428763|4|6
49,17,22,1,8,34898.1|37047|-1|0
1,12,37,1,8,34360.2|422378|-1|0
48,12,6,1,8,39226|14591|-1|0
14,39,13,1,7,42485|1045293|1|1
39,7,37,1,7,33085.4|29786|1|2
6,0,8,5,13,30512.6
33,6,30,1,7,33085.4|29786|1|2
2,44,34,1,7,30401.5|28579|1|2
44,38,22,1,8,41714|40080|-1|0
25,39,11,1,7,45729.4|42059|4|4
7,7,11,1,7,24681.9|981|5|1
7,12,44,1,8,41205.9|17974|-1|0
39,2,32,1,7,43106.1|16224|4|2
35,19,18,1,8,26343.5|29042|-1|0
39,27,11,1,8,40997.8|114087|-1|0
14,32,44,1,8,44339.2|42137|-1|0
13,25,7,6,16,0
1,42,35,1,7,37929.6|8427|1|1
39,23,14,5,13,42387.4
42,11,0,1,8,36664.1|15493|-1|0
49,13,8,2,5,0
16,6,26,1,7,29796.6|43637|2|3
12,2,44,1,7,40699.6|1031|1|1
23,24,2,1,7,29805.4|422378|5|2
2,24,13,1,8,29045.2|2501|-1|0
4,19,18,1,7,19774.1|11746|2|1
37,9,33,1,8,27043.7|14085|-1|0
2,41,22,1,7,31312.4|20546|5|1
48,39,3,2,5,0
26,14,10,1,8,20927.1|17406|-1|0
0,29,3,6,16,0
37,29,35,1,7,20783.8|36394|6|1
31,24,32,1,7,32137.8|525837|1|1
43,37,0,2,4,0
28,33,31,1,8,34968.1|31726|-1|0
23,33,13,1,7,31556.4|17693|6|0
28,0,27,1,7,29859.7|900237|2|1
22,31,49,1,7,32508.9|152395|4|2
7,26,15,1,7,29712.9|18800|6|1
13,13,20,1,8,27457.7|33976|-1|0
39,14,5,1,7,34908.5|922489|6|7
39,12,38,1,7,33085.4|29786|3|4
5,6,30,1,8,41205.9|17974|-1|0
44,20,24,1,8,26580.7|41856|-1|0
3,39,20,1,7,33422.8|32231|3|3
41,38,26,1,7,46457.9|27194|5|2
21,11,5,1,7,20350.4|22377|1|2
48,9,6,1,7,33788.5|35575|0|1
37,10,17,1,7,22061.2|14591|3|2
24,22,17,1,8,24996.8|114087|-1|0
49,45,2,6,16,0
8,6,44,1,7,40699.6|1031|1|1
48,41,0,3,9,0
48,40,0,2,4,0
44,13,6,1,7,36638.1|767203|2|1
25,31,36,8,19,0
37,11,5,1,8,27770.7|581078|-1|0
8,35,21,5,13,45981.1
46,27,0,6,16,0
10,24,36,1,8,30401.5|28579|-1|0
30,31,29,1,7,23719.9|27501|5|2
11,8,10,6,16,0
49,34,1,6,16,0
6,27,18,1,8,25547.7|15493|-1|0
5,41,36,1,7,30401.5|28579|1|2
19,20,5,1,8,24482|981|-1|0
47,30,27,1,8,33769.6|36045|-1|0
34,9,24,6,16,0
32,6,3,1,7,27457.7|581078|6|0
10,14,43,1,8,35771|36977|-1|0
1,6,1,8,19,0
5,29,20,1,8,21104.1|22377|-1|0
8,39,9,1,7,42485|1045293|1|1
48,38,1,2,4,0
5,19,42,1,8,26747.9|432|-1|0
36,39,0,6,16,0
46,16,11,6,16,0
36,10,0,1,7,29284.6|15493|0|1
4,11,1,1,8,27465.7|26070|-1|0
32,23,38,1,8,33085.4|29786|-1|0
49,11,15,1,7,28303.7|1078193|2|2
49,30,5,6,16,0
28,2,2,1,7,27457.7|581078|4|2
29,2,41,1,8,28916.2|16970|-1|0
48,2,14,1,8,26580.7|729355|-1|0
37,14,34,1,7,30451.8|680275|1|1
8,45,16,1,7,42485|1045293|1|1
5,9,22,1,8,32508.9|994|-1|0
3,49,19,1,7,45378.3|22607|6|1
17,3,7,1,7,21179.5|11746|2|1
17,38,43,1,8,44339.2|42137|-1|0
49,5,20,2,4,0
7,3,18,1,7,29859.7|36523|1|1
44,3,6,1,7,26432.4|7620|0|3
26,28,46,5,13,46409.7
43,43,1,3,9,0
47,5,18,1,7,26388.8|41140|6|1
36,4,33,1,7,21065.7|27581|1|2
38,13,37,1,7,33085.4|29786|3|4
3,17,25,1,8,25869.1|20546|-1|0
42,6,10,1,8,29867.3|35575|-1|0
39,8,4,1,8,27764.6|15493|-1|0
40,23,26,1,8,27221|36045|-1|0
42,16,26,1,8,26343.5|29042|-1|0
