x,y,z,Type,State,extra
13,0,36,8,19,0
6,45,31,8,19,0
3,37,14,8,19,0
25,15,33,8,19,0
20,39,0,8,19,0
48,28,18,8,19,0
11,0,38,8,19,0
6,22,0,8,19,0
8,17,49,8,19,0
13,26,48,8,19,0
16,33,49,8,19,0
9,22,0,8,19,0
26,49,0,8,17,0
42,20,47,8,19,0
43,36,3,8,19,0
20,30,43,8,19,0
18,30,45,8,19,0
10,40,14,8,19,0
9,29,41,8,19,0
39,20,46,8,19,0
5,48,14,8,19,0
48,19,47,8,19,0
8,22,49,8,19,0
4,43,35,8,19,0
0,40,21,8,19,0
31,22,0,8,19,0
10,31,46,8,19,0
3,35,32,8,19,0
8,43,9,8,19,0
0,45,29,8,19,0
38,18,8,8,19,0
28,30,35,8,19,0
17,33,41,8,19,0
43,36,4,8,19,0
6,49,44,8,19,0
6,43,27,8,19,0
45,33,20,8,19,0
21,31,32,8,19,0
20,33,49,8,19,0
0,39,40,8,19,0
17,9,41,8,19,0
26,18,5,8,17,0
14,36,38,8,19,0
46,20,43,8,19,0
11,24,0,8,19,0
9,42,48,8,19,0
8,21,49,8,19,0
1,32,30,8,19,0
5,33,45,8,19,0
16,34,40,8,19,0
12,39,5,8,19,0
6,34,26,8,19,0
48,21,43,8,19,0
10,32,40,8,19,0
1,39,24,8,19,0
9,4,40,8,19,0
10,33,40,8,19,0
16,49,32,8,19,0
3,49,34,8,19,0
24,40,0,8,19,0
23,31,34,8,19,0
0,21,40,8,19,0
25,30,38,8,19,0
17,30,46,8,19,0
40,18,45,8,19,0
8,11,42,8,19,0
45,14,28,8,19,0
26,43,0,8,19,0
0,40,19,8,19,0
39,33,3,8,19,0
49,18,30,8,19,0
22,30,41,8,19,0
0,39,26,8,19,0
32,46,18,8,19,0
30,48,20,8,19,0
27,27,47,8,19,0
39,19,9,8,19,0
49,22,38,8,19,0
10,26,48,8,19,0
6,44,28,8,19,0
25,17,35,8,19,0
3,37,26,8,19,0
18,39,0,8,19,0
37,29,3,8,17,0
42,37,5,8,19,0
24,22,41,8,19,0
0,4,39,8,19,0
8,25,49,8,19,0
9,6,38,8,19,0
41,32,0,8,19,0
30,23,28,8,19,0
40,39,7,8,19,0
47,21,43,8,19,0
4,31,29,8,19,0
45,25,15,8,19,0
45,8,27,8,19,0
6,45,33,8,19,0
21,33,49,8,19,0
2,44,26,8,19,0
1,39,16,8,19,0
11,26,48,8,19,0
3,22,0,8,19,0
11,37,3,8,19,0
0,2,39,8,19,0
8,0,38,8,19,0
42,22,12,8,19,0
31,31,43,8,19,0
19,31,42,8,19,0
21,39,0,8,19,0
39,38,8,8,19,0
36,27,0,8,19,0
3,49,40,8,19,0
0,32,30,8,17,0
34,46,18,8,19,0
8,24,49,8,19,0
9,38,44,8,19,0
29,20,2,8,19,0
6,23,47,8,19,0
26,48,0,8,19,0
46,20,47,8,19,0
5,32,45,8,19,0
5,27,46,8,19,0
35,13,40,8,19,0
8,5,39,8,19,0
12,0,37,8,19,0
17,29,4,8,19,0
29,24,28,8,19,0
12,33,48,8,19,0
6,45,29,8,19,0
7,22,48,8,19,0
12,33,49,8,19,0
15,39,0,8,19,0
5,37,8,8,19,0
15,28,48,8,19,0
0,44,28,8,19,0
4,24,45,8,19,0
31,31,42,8,19,0
14,26,1,8,19,0
21,16,48,8,19,0
26,47,0,8,19,0
3,30,41,8,19,0
29,29,33,8,19,0
39,39,20,8,19,0
34,14,4,8,19,0
9,39,49,8,17,0
3,29,42,8,19,0
20,35,30,8,19,0
7,48,17,8,19,0
8,29,44,8,19,0
3,49,36,8,19,0
17,7,39,8,19,0
15,40,25,8,19,0
46,6,27,8,19,0
19,30,43,8,19,0
39,30,1,8,19,0
31,47,20,8,19,0
24,30,46,8,19,0
2,23,1,8,19,0
6,49,45,8,19,0
43,23,13,8,19,0
8,42,32,8,19,0
9,36,42,8,19,0
5,31,46,8,19,0
10,3,40,8,19,0
23,30,40,8,19,0
8,18,49,8,19,0
34,44,20,8,19,0
17,12,44,8,19,0
12,38,36,8,19,0
7,44,10,8,19,0
10,0,38,8,19,0
10,38,4,8,19,0
0,18,41,8,19,0
3,26,45,8,19,0
3,49,35,8,19,0
38,16,43,8,19,0
21,40,3,8,19,0
11,35,46,8,19,0
9,38,47,8,19,0
26,30,37,8,19,0
16,39,26,8,19,0
38,20,47,8,19,0
45,19,48,8,19,0
19,30,44,8,19,0
12,26,48,8,19,0
3,33,38,8,19,0
3,24,39,8,19,0
6,48,43,8,19,0
39,37,7,8,19,0
0,39,39,8,19,0
34,45,13,8,19,0
9,39,48,8,19,0
31,12,36,8,19,0
30,12,35,8,19,0
47,16,28,8,19,0
33,24,0,8,19,0
7,22,0,8,19,0
6,27,42,8,19,0
12,35,47,8,19,0
17,38,27,8,19,0
9,42,8,8,19,0
17,3,35,8,19,0
8,40,16,8,19,0
2,15,41,8,19,0
42,36,20,8,19,0
27,49,21,8,19,0
6,37,25,8,19,0
49,19,31,8,19,0
19,39,0,8,19,0
22,32,43,8,19,0
14,38,0,8,19,0
6,10,45,8,19,0
17,5,37,8,19,0
0,42,24,8,19,0
7,28,43,8,19,0
7,48,48,8,19,0
28,48,20,8,19,0
5,25,46,8,19,0
15,40,9,8,19,0
12,40,12,8,19,0
36,42,20,8,19,0
32,46,20,8,19,0
29,12,34,8,19,0
9,49,39,8,19,0
11,8,38,8,19,0
26,49,0,8,19,0
23,49,25,8,19,0
12,43,22,8,19,0
14,0,35,8,19,0
9,43,49,8,19,0
8,12,47,8,19,0
22,22,46,8,19,0
2,38,25,8,19,0
8,15,49,8,19,0
10,1,40,8,19,0
43,20,46,8,19,0
4,37,12,8,19,0
6,35,25,8,19,0
11,49,37,8,19,0
24,30,41,8,19,0
49,22,40,8,19,0
0,25,45,8,19,0
9,0,38,8,19,0
32,12,2,8,19,0
2,48,32,8,19,0
33,46,18,8,19,0
49,22,41,8,19,0
17,11,43,8,19,0
14,40,49,8,19,0
10,11,42,8,19,0
15,35,39,8,19,0
29,31,40,8,19,0
13,41,49,8,19,0
11,44,21,8,19,0
38,46,17,8,19,0
1,0,38,8,19,0
3,49,33,8,19,0
12,33,49,8,17,0
31,48,16,8,19,0
13,49,35,8,19,0
6,0,38,8,19,0
32,23,0,8,19,0
3,35,30,8,19,0
25,31,36,8,19,0
0,3,39,8,19,0
26,28,42,8,19,0
5,24,46,8,19,0
29,30,34,8,19,0
6,38,25,8,19,0
18,30,5,8,19,0
48,30,20,8,19,0
24,36,3,8,19,0
0,46,30,8,19,0
9,11,42,8,19,0
8,23,49,8,19,0
44,9,27,8,19,0
32,11,1,8,17,0
7,40,17,8,19,0
8,11,46,8,19,0
4,25,40,8,19,0
11,40,13,8,19,0
19,35,46,8,19,0
16,29,48,8,19,0
9,35,41,8,19,0
4,37,9,8,19,0
6,42,26,8,19,0
39,45,15,8,19,0
4,35,44,8,19,0
10,45,20,8,19,0
3,42,36,8,19,0
9,38,5,8,19,0
0,40,26,8,19,0
8,49,40,8,19,0
1,38,25,8,19,0
46,1,27,8,19,0
5,22,0,8,19,0
1,5,40,8,19,0
15,0,34,8,19,0
13,35,48,8,19,0
10,44,46,8,19,0
14,49,34,8,19,0
15,39,49,8,19,0
7,11,42,8,19,0
29,26,30,8,19,0
6,41,25,8,19,0
9,30,45,8,19,0
4,22,0,8,19,0
27,13,33,8,19,0
49,22,39,8,19,0
13,37,37,8,19,0
4,46,28,8,19,0
44,24,14,8,19,0
49,18,48,8,19,0
25,49,23,8,19,0
6,39,25,8,19,0
21,33,31,8,19,0
47,20,48,8,19,0
19,36,29,8,19,0
37,42,10,8,19,0
30,49,18,8,19,0
17,6,38,8,19,0
16,28,3,8,19,0
2,37,42,8,19,0
27,15,48,8,19,0
17,8,40,8,19,0
7,20,0,8,19,0
6,49,15,8,19,0
10,23,47,8,19,0
37,28,0,8,19,0
14,35,49,8,19,0
46,32,20,8,19,0
8,37,5,8,19,0
6,45,11,8,19,0
12,38,2,8,19,0
20,34,45,8,19,0
49,22,34,8,19,0
14,41,24,8,19,0
15,27,2,8,19,0
7,49,16,8,19,0
17,4,36,8,19,0
27,30,36,8,19,0
0,24,2,8,17,0
26,14,33,8,19,0
3,35,36,8,19,0
46,5,27,8,19,0
46,7,27,8,19,0
15,49,33,8,19,0
19,29,44,8,19,0
34,25,0,8,19,0
7,43,31,8,19,0
24,31,35,8,19,0
9,24,46,8,19,0
44,12,27,8,19,0
29,47,19,8,19,0
49,29,19,8,19,0
18,13,45,8,19,0
3,31,40,8,19,0
1,47,31,8,19,0
12,42,48,8,19,0
0,20,41,8,19,0
0,40,22,8,19,0
27,31,38,8,19,0
19,33,49,8,19,0
4,14,42,8,19,0
43,19,46,8,19,0
49,21,42,8,19,0
19,28,45,8,19,0
2,40,22,8,19,0
33,12,38,8,19,0
1,22,39,8,19,0
39,35,5,8,19,0
6,38,8,8,19,0
36,46,18,8,19,0
30,49,17,8,19,0
10,35,45,8,19,0
0,19,41,8,19,0
29,27,31,8,19,0
39,39,9,8,19,0
8,38,6,8,19,0
41,21,11,8,19,0
21,34,31,8,19,0
6,44,30,8,19,0
20,15,47,8,19,0
18,33,49,8,19,0
24,49,24,8,19,0
8,16,49,8,19,0
39,41,11,8,19,0
32,12,37,8,19,0
43,35,20,8,19,0
39,32,2,8,19,0
25,35,4,8,19,0
5,13,42,8,19,0
22,38,1,8,19,0
14,27,48,8,19,0
26,28,44,8,19,0
24,30,39,8,19,0
1,40,38,8,19,0
42,33,0,8,19,0
11,11,41,8,19,0
40,20,47,8,19,0
13,38,1,8,19,0
17,40,7,8,19,0
4,17,0,8,19,0
25,25,49,8,19,0
11,10,40,8,19,0
3,0,38,8,19,0
48,17,29,8,19,0
8,14,48,8,19,0
44,20,45,8,19,0
10,41,7,8,19,0
2,24,45,8,19,0
0,10,0,8,17,0
38,40,20,8,19,0
0,40,23,8,19,0
13,26,0,8,19,0
29,29,45,8,19,0
16,40,8,8,19,0
18,37,28,8,19,0
25,22,40,8,19,0
39,46,16,8,19,0
49,21,33,8,19,0
46,0,27,8,19,0
17,49,31,8,19,0
28,28,46,8,19,0
39,34,4,8,19,0
33,18,48,8,19,0
37,15,42,8,19,0
25,21,39,8,19,0
10,49,38,8,19,0
6,45,30,8,19,0
3,49,39,8,19,0
30,49,19,8,19,0
3,7,42,8,19,0
19,31,6,8,19,0
44,18,47,8,19,0
46,26,16,8,19,0
43,34,0,8,19,0
20,25,47,8,19,0
2,0,38,8,19,0
25,25,49,8,17,0
26,31,37,8,19,0
14,40,10,8,19,0
7,49,41,8,19,0
0,40,17,8,19,0
21,49,27,8,19,0
23,40,1,8,19,0
9,46,49,8,19,0
9,36,45,8,19,0
3,35,33,8,19,0
44,13,27,8,19,0
17,39,0,8,19,0
8,20,49,8,19,0
8,47,18,8,19,0
3,35,29,8,19,0
3,49,41,8,19,0
3,35,35,8,19,0
11,40,6,8,19,0
5,44,34,8,19,0
19,27,46,8,19,0
30,21,1,8,19,0
0,11,0,8,19,0
47,27,17,8,19,0
29,28,32,8,19,0
35,15,5,8,19,0
33,46,14,8,19,0
37,46,18,8,19,0
19,49,29,8,19,0
5,28,46,8,19,0
13,38,4,8,19,0
30,31,41,8,19,0
7,27,43,8,19,0
33,13,3,8,19,0
9,37,46,8,19,0
