x,y,z,Type,State,extra
31,26,24,1,7,19582.7|29423|6|3
33,24,28,1,8,20362.9|25088|-1|0
47,23,37,1,7,45499.6|28114|3|1
27,10,6,1,7,27852.6|19990|6|0
45,37,26,1,7,23941.6|27194|6|1
14,3,22,1,7,25998|16970|1|1
1,21,13,1,7,20043.2|2344|6|0
5,36,1,1,7,24482|981|4|1
34,23,40,1,7,33393.1|26499|4|1
23,17,38,1,7,23286.3|20524|1|4
39,10,16,5,13,20050.8
27,39,18,6,16,0
34,11,31,1,7,19267.1|18975|5|3
14,49,39,2,4,0
26,12,14,1,7,18202.5|18800|4|1
47,34,8,1,7,21381.6|38825|2|1
18,35,11,1,8,18584.9|16556|-1|0
37,34,4,1,8,29859.7|36523|-1|0
32,20,21,1,7,19287.1|40410|6|1
24,9,13,1,7,18202.5|18800|4|1
34,22,10,1,8,18374.9|29335|-1|0
30,6,23,1,7,23719.9|27501|1|1
25,21,11,1,7,20208.3|32231|1|1
43,13,48,1,8,46311.4|36286|-1|0
30,13,13,5,13,33394.9
25,34,43,1,7,28748.5|13604|5|2
0,12,49,3,9,0
13,23,4,1,7,30401.5|28579|3|3
18,35,2,1,7,20774.6|7107|4|1
2,40,39,6,16,0
39,17,27,1,8,20546|29273|-1|0
47,19,49,2,4,0
16,47,17,1,7,24814.7|16871|6|0
47,22,17,1,7,19287.1|40410|6|0
27,28,19,1,8,18244.8|17693|-1|0
49,25,36,3,9,0
35,4,24,1,7,23719.9|27501|6|2
2,8,31,1,7,25646.6|2667|1|1
36,37,48,1,7,39093.3|40628|1|2
14,20,37,1,7,26081.2|10704|6|0
19,45,4,1,7,24814.7|16871|6|2
1,18,18,6,16,0
34,21,40,1,7,33200.6|36987|3|2
27,5,13,1,7,27852.6|19990|6|0
12,23,40,1,7,34780.9|12133|6|0
24,0,25,1,8,24038.4|15493|-1|0
34,18,29,1,8,19195.8|31239|-1|0
18,46,30,1,7,25232.6|18436|6|3
47,31,43,6,16,0
44,22,26,1,8,24185.9|40482|-1|0
46,13,46,6,16,0
0,13,9,1,8,27833.5|3745|-1|0
33,21,49,2,4,0
11,41,7,1,7,24814.7|16871|6|2
9,26,18,1,7,19320.7|2251|6|0
49,19,47,3,10,0
32,41,37,1,7,29323|43015|5|1
34,15,4,1,7,22631.2|15656|4|6
37,21,11,1,7,21947.2|36179|6|3
42,4,27,1,7,23917.5|38149|1|4
5,30,25,1,8,20505.9|10704|-1|0
0,33,18,6,16,0
49,19,39,2,4,0
0,14,49,2,4,0
4,30,26,1,7,25491.9|2344|2|1
25,16,27,1,7,18275.7|23301|3|3
0,4,11,5,14,23598.4
41,7,34,1,8,26527.4|27501|-1|0
49,24,49,3,10,0
26,29,5,6,16,0
9,35,5,1,8,17900.7|13778|-1|0
22,42,9,1,7,29608.3|15339|3|2
7,49,34,3,9,0
49,23,42,3,10,0
39,23,26,1,8,21819.7|40830|-1|0
24,8,15,1,8,24038.4|15493|-1|0
1,29,49,3,10,0
33,18,27,1,7,19870.8|29273|6|0
36,14,16,6,16,0
15,38,7,1,7,18042|6959|5|2
33,47,24,1,6,24149.7|40830|6|0
32,0,36,1,7,22877.5|30629|0|1
6,43,1,1,8,25756.2|8241|-1|0
16,44,35,6,16,0
14,28,17,1,7,18480.7|13084|6|2
7,3,23,1,7,25998|16970|6|0
44,12,34,1,8,30933.7|38149|-1|0
9,28,44,1,7,40553.8|12133|6|4
23,22,42,1,8,30866.6|26893|-1|0
45,0,7,6,16,0
8,14,1,1,7,23936|7620|4|1
48,14,49,2,4,0
43,34,32,1,8,33296.3|40628|-1|0
42,37,16,6,16,0
4,24,26,1,7,23926.3|9614|1|6
34,5,23,6,16,0
35,6,6,1,7,27852.6|19990|6|2
38,6,13,1,7,22597.3|37047|4|1
24,48,36,1,8,23145.4|21297|-1|0
17,38,18,1,7,18042|6959|5|6
15,10,3,1,7,26747.9|432|1|2
45,36,18,1,7,22755.8|42059|3|1
6,46,16,1,8,29045.2|2501|-1|0
1,4,20,1,7,29091.3|8761|6|1
35,29,16,1,7,21514.1|40830|2|2
22,45,12,1,8,24814.7|16871|-1|0
21,17,45,1,8,32714.6|20496|-1|0
17,21,4,1,7,30401.5|28579|3|1
48,28,49,2,4,0
38,13,4,6,16,0
30,43,29,6,16,0
44,36,38,1,7,38685.4|32664|6|0
34,2,14,1,7,24038.4|15493|3|2
1,3,48,2,4,0
24,33,45,1,8,31677.1|26893|-1|0
0,48,43,3,9,0
29,25,4,1,7,19821.8|20675|5|2
29,1,17,1,7,24038.4|15493|6|0
