x,y,z,ECM_density,Fib_field
0,0,0,2903.12,0.0766058
0,0,1,2915.92,0.104693
0,0,2,2929.62,0.135159
0,0,3,2944.83,0.165437
0,0,4,2962.6,0.192931
0,0,5,2984.25,0.216065
0,0,6,3010.86,0.234351
0,0,7,3042.97,0.248466
0,0,8,3080.13,0.259794
0,0,9,3121.33,0.270283
0,0,10,3165.04,0.282631
0,0,11,3209.68,0.29982
0,0,12,3253.87,0.324807
0,0,13,3296.28,0.358818
0,0,14,3335.62,0.400347
0,0,15,3370.66,0.444859
0,0,16,3399.89,0.48587
0,0,17,3421.9,0.516356
0,0,18,3435.23,0.530577
0,0,19,3438.73,0.525541
0,0,20,3431.74,0.501649
0,0,21,3414.43,0.462352
0,0,22,3387.93,0.413133
0,0,23,3353.98,0.359604
0,0,24,3314.57,0.306036
0,0,25,3271.67,0.254703
0,0,26,3226.69,0.206245
0,0,27,3180.69,0.161132
0,0,28,3134.48,0.120229
0,0,29,3089.08,0.0849787
0,0,30,3045.66,0.0566859
0,0,31,3005.76,0.035754
0,0,32,2970.85,0.0216209
0,0,33,2941.93,0.0126978
0,0,34,2919.23,0.00736042
0,0,35,2902.21,0.00425885
0,0,36,2889.79,0.00251557
0,0,37,2880.93,0.00173544
0,0,38,2874.66,0.00175047
0,0,39,2870.31,0.00275237
0,0,40,2867.41,0.00489237
0,0,41,2865.64,0.00839741
0,0,42,2864.75,0.0132335
0,0,43,2864.46,0.0189005
0,0,44,2864.6,0.02441
0,0,45,2864.94,0.0284682
0,0,46,2865.23,0.0299795
0,0,47,2865.2,0.0285054
0,0,48,2864.67,0.0244681
0,0,49,2863.59,0.0189558
0,1,0,2911.13,0.0817967
0,1,1,2925.53,0.112562
0,1,2,2940.65,0.146205
0,1,3,2957.2,0.179958
0,1,4,2976.42,0.211022
0,1,5,2999.92,0.237727
0,1,6,3029.07,0.259466
0,1,7,3064.6,0.276821
0,1,8,3106.02,0.291079
0,1,9,3152.14,0.304218
0,1,10,3201.11,0.319266
0,1,11,3250.97,0.33984
0,1,12,3300.01,0.369631
0,1,13,3346.71,0.410279
0,1,14,3389.72,0.460041
0,1,15,3427.86,0.513409
0,1,16,3459.67,0.562518
0,1,17,3483.78,0.59903
0,1,18,3498.65,0.616285
0,1,19,3502.87,0.611015
0,1,20,3495.49,0.583843
0,1,21,3476.42,0.538763
0,1,22,3446.68,0.481986
0,1,23,3408.16,0.419864
0,1,24,3363.26,0.35738
0,1,25,3314.5,0.297375
0,1,26,3263.82,0.240852
0,1,27,3212.72,0.188547
0,1,28,3162.24,0.141445
0,1,29,3113.41,0.101078
0,1,30,3067.27,0.0687588
0,1,31,3025.15,0.044782
0,1,32,2988.32,0.0283821
0,1,33,2957.6,0.0177255
0,1,34,2933.14,0.0110044
0,1,35,2914.38,0.00677585
0,1,36,2900.26,0.00415317
0,1,37,2889.78,0.00274997
0,1,38,2882.05,0.00237494
0,1,39,2876.42,0.00322047
0,1,40,2872.43,0.0053714
0,1,41,2869.77,0.00901997
0,1,42,2868.2,0.0140964
0,1,43,2867.43,0.0200509
0,1,44,2867.28,0.0258457
0,1,45,2867.49,0.0301065
0,1,46,2867.74,0.0316813
0,1,47,2867.69,0.0301092
0,1,48,2867.04,0.0258367
0,1,49,2865.72,0.0200119
0,2,0,2916.91,0.0824748
0,2,1,2932.25,0.114186
0,2,2,2948.03,0.149108
0,2,3,2964.97,0.184455
0,2,4,2984.43,0.217414
0,2,5,3008.27,0.246314
0,2,6,3038.13,0.27045
0,2,7,3074.96,0.290215
0,2,8,3118.4,0.306678
0,2,9,3167.18,0.321717
0,2,10,3219.24,0.338527
0,2,11,3272.3,0.361217
0,2,12,3324.33,0.394053
0,2,13,3373.59,0.439
0,2,14,3418.67,0.494118
0,2,15,3458.44,0.553115
0,2,16,3491.58,0.607073
0,2,17,3516.78,0.646775
0,2,18,3532.5,0.665111
0,2,19,3537.2,0.658926
0,2,20,3529.69,0.629237
0,2,21,3509.64,0.58048
0,2,22,3477.96,0.51923
0,2,23,3436.59,0.452122
0,2,24,3388.19,0.384478
0,2,25,3335.69,0.319532
0,2,26,3281.5,0.258648
0,2,27,3227.5,0.202834
0,2,28,3174.99,0.153141
0,2,29,3125.11,0.110988
0,2,30,3078.78,0.07746
0,2,31,3037.05,0.052565
0,2,32,3000.81,0.0352554
0,2,33,2970.54,0.023546
0,2,34,2946.12,0.0156238
0,2,35,2926.9,0.0101579
0,2,36,2911.91,0.0064287
0,2,37,2900.28,0.00415937
0,2,38,2891.29,0.00317277
0,2,39,2884.38,0.00362655
0,2,40,2879.19,0.00548608
0,2,41,2875.43,0.00885021
0,2,42,2872.9,0.0135945
0,2,43,2871.33,0.0191641
0,2,44,2870.59,0.0245902
0,2,45,2870.42,0.0285643
0,2,46,2870.44,0.0300069
0,2,47,2870.24,0.0284878
0,2,48,2869.43,0.0244294
0,2,49,2867.86,0.018914
0,3,0,2920.44,0.0800253
0,3,1,2936.19,0.111242
0,3,2,2952.04,0.145816
0,3,3,2968.62,0.181103
0,3,4,2987.34,0.214425
0,3,5,3010.18,0.244162
0,3,6,3039.04,0.269512
0,3,7,3075.17,0.290615
0,3,8,3118.47,0.308294
0,3,9,3167.77,0.324299
0,3,10,3220.95,0.341873
0,3,11,3275.48,0.365417
0,3,12,3329.04,0.399481
0,3,13,3379.58,0.446112
0,3,14,3425.56,0.503124
0,3,15,3465.85,0.563659
0,3,16,3499.22,0.618194
0,3,17,3524.52,0.657227
0,3,18,3540.28,0.67382
0,3,19,3544.98,0.665418
0,3,20,3537.37,0.633668
0,3,21,3517,0.583361
0,3,22,3484.7,0.52105
0,3,23,3442.38,0.453103
0,3,24,3392.78,0.384684
0,3,25,3339.01,0.319113
0,3,26,3283.7,0.258035
0,3,27,3228.99,0.202723
0,3,28,3176.46,0.15428
0,3,29,3127.4,0.113868
0,3,30,3082.74,0.0821386
0,3,31,3043.31,0.0586421
0,3,32,3009.55,0.0419582
0,3,33,2981.46,0.030027
0,3,34,2958.55,0.0212053
0,3,35,2940.01,0.014481
0,3,36,2924.95,0.0094795
0,3,37,2912.67,0.0061424
0,3,38,2902.68,0.00435407
0,3,39,2894.63,0.00420466
0,3,40,2888.2,0.00550331
0,3,41,2883.19,0.00820579
0,3,42,2879.43,0.0121173
0,3,43,2876.71,0.0167162
0,3,44,2874.99,0.0212034
0,3,45,2874.07,0.0244592
0,3,46,2873.56,0.0255862
0,3,47,2873.01,0.0242284
0,3,48,2871.92,0.0207437
0,3,49,2870.04,0.0160443
0,4,0,2922.46,0.0759788
0,4,1,2938.37,0.105732
0,4,2,2953.99,0.138855
0,4,3,2969.82,0.172966
0,4,4,2987.17,0.205611
0,4,5,3008.09,0.235222
0,4,6,3034.7,0.260878
0,4,7,3068.61,0.28244
0,4,8,3110.1,0.300537
0,4,9,3158.28,0.316864
0,4,10,3211.11,0.334656
0,4,11,3265.9,0.358375
0,4,12,3320.05,0.392458
0,4,13,3371.12,0.438653
0,4,14,3417.33,0.494357
0,4,15,3457.36,0.55234
0,4,16,3490.07,0.602979
0,4,17,3514.45,0.637174
0,4,18,3529.25,0.648875
0,4,19,3533.22,0.636662
0,4,20,3525.3,0.603072
0,4,21,3505.12,0.553169
0,4,22,3473.5,0.493095
0,4,23,3432.23,0.428373
0,4,24,3383.94,0.363424
0,4,25,3331.55,0.301231
0,4,26,3277.6,0.243551
0,4,27,3224.25,0.191913
0,4,28,3173.25,0.147557
0,4,29,3126.17,0.111393
0,4,30,3084.1,0.0835785
0,4,31,3047.78,0.0631312
0,4,32,3017.33,0.0482021
0,4,33,2992.25,0.0366999
0,4,34,2971.65,0.0272668
0,4,35,2954.47,0.0193475
0,4,36,2939.87,0.0130315
0,4,37,2927.35,0.00855602
0,4,38,2916.66,0.00590397
0,4,39,2907.63,0.00507099
0,4,40,2900.04,0.00569394
0,4,41,2893.71,0.00755396
0,4,42,2888.5,0.0103756
0,4,43,2884.28,0.0136921
0,4,44,2881.14,0.0169316
0,4,45,2879,0.0192307
0,4,46,2877.56,0.0199317
0,4,47,2876.34,0.0187732
0,4,48,2874.75,0.0160253
0,4,49,2872.44,0.0123757
0,5,0,2924.14,0.0713883
0,5,1,2940.25,0.0991329
0,5,2,2955.68,0.130196
0,5,3,2970.67,0.162547
