x,y,z,ECM_density,Fib_field
0,0,0,1813.88,0.170755
0,0,1,1947.22,0.190649
0,0,2,2013.88,0.196788
0,0,3,2020.32,0.189212
0,0,4,1982.46,0.170924
0,0,5,1920.85,0.146313
0,0,6,1855.27,0.119583
0,0,7,1799.52,0.0938282
0,0,8,1758.67,0.0709327
0,0,9,1730.48,0.0519082
0,0,10,1709.38,0.0371728
0,0,11,1689.68,0.0266699
0,0,12,1668.68,0.0203081
0,0,13,1644.6,0.0177553
0,0,14,1617.23,0.0188094
0,0,15,1586.29,0.0233178
0,0,16,1551.3,0.0308773
0,0,17,1511.86,0.0405147
0,0,18,1467.29,0.0503663
0,0,19,1417,0.058003
0,0,20,1360.92,0.0612254
0,0,21,1299.92,0.0589544
0,0,22,1235.94,0.0516984
0,0,23,1171.45,0.0413089
0,0,24,1109.35,0.03015
0,0,25,1052.38,0.0202609
0,0,26,1002.85,0.0128539
0,0,27,962.088,0.0082472
0,0,28,930.057,0.00640904
0,0,29,905.401,0.00725777
0,0,30,885.514,0.0109439
0,0,31,867.721,0.0177165
0,0,32,849.719,0.0275011
0,0,33,830.809,0.0394024
0,0,34,811.936,0.0514975
0,0,35,795.159,0.0611657
0,0,36,782.768,0.0659375
0,0,37,776.455,0.0644827
0,0,38,776.208,0.0572003
0,0,39,780.593,0.0460319
0,0,40,787.102,0.0336216
0,0,41,793.292,0.0223084
0,0,42,797.506,0.0134721
0,0,43,798.977,0.00743479
0,0,44,797.344,0.00378098
0,0,45,791.768,0.00180167
0,0,46,780.897,0.00081296
0,0,47,763.64,0.00034605
0,0,48,740.165,0.00015999
0,0,49,712.427,7.47488e-05
0,1,0,1921.15,0.185764
0,1,1,2064.38,0.211157
0,1,2,2137.92,0.222813
0,1,3,2149.02,0.219925
0,1,4,2113.95,0.204647
0,1,5,2053.37,0.180764
0,1,6,1987.36,0.152322
0,1,7,1930.28,0.122771
0,1,8,1887.79,0.0947649
0,1,9,1858.01,0.0702443
0,1,10,1835.43,0.0504649
0,1,11,1814.24,0.03591
0,1,12,1791.56,0.0266776
0,1,13,1765.49,0.0223876
0,1,14,1735.72,0.0226953
0,1,15,1701.89,0.0273155
0,1,16,1663.44,0.0357293
0,1,17,1619.95,0.0468732
0,1,18,1570.74,0.058651
0,1,19,1515.25,0.0682414
0,1,20,1453.52,0.0729716
0,1,21,1386.53,0.0713424
0,1,22,1316.46,0.0636803
0,1,23,1246.08,0.0519658
0,1,24,1178.65,0.0389319
0,1,25,1117.29,0.0270554
0,1,26,1064.56,0.017904
0,1,27,1021.89,0.011987
0,1,28,989.094,0.00929743
0,1,29,964.42,0.00965937
0,1,30,944.641,0.0130918
0,1,31,926.429,0.0197016
0,1,32,906.927,0.0293277
0,1,33,885.232,0.0410633
0,1,34,862.505,0.0530199
0,1,35,841.398,0.0626407
0,1,36,824.97,0.0674833
0,1,37,815.637,0.0661706
0,1,38,813.754,0.0589991
0,1,39,817.906,0.0478142
0,1,40,825.236,0.0352304
0,1,41,832.813,0.0236305
0,1,42,838.495,0.0144791
0,1,43,841.095,0.00817168
0,1,44,839.917,0.00432467
0,1,45,833.828,0.00222096
0,1,46,821.17,0.00115143
0,1,47,800.654,0.000619633
0,1,48,772.476,0.00036862
0,1,49,738.937,0.000221696
0,2,0,1965.85,0.189591
0,2,1,2116.13,0.220541
0,2,2,2196.71,0.239165
0,2,3,2214.76,0.243523
0,2,4,2186,0.234329
0,2,5,2130.3,0.214078
0,2,6,2067.12,0.186123
0,2,7,2010.75,0.154027
0,2,8,1967.31,0.12127
0,2,9,1935.63,0.0909672
0,2,10,1910.78,0.0655129
0,2,11,1887.34,0.0461874
0,2,12,1862.61,0.0333979
0,2,13,1834.67,0.0267442
0,2,14,1803.08,0.025681
0,2,15,1767.31,0.0297104
0,2,16,1726.62,0.0381543
0,2,17,1680.57,0.0499186
0,2,18,1628.58,0.0628315
0,2,19,1570.3,0.0738924
0,2,20,1505.98,0.0801434
0,2,21,1436.8,0.0797181
0,2,22,1364.98,0.0726556
0,2,23,1293.31,0.0608398
0,2,24,1225.07,0.0471225
0,2,25,1163.44,0.0342303
0,2,26,1111.07,0.024006
0,2,27,1069.39,0.0171642
0,2,28,1038.11,0.0137643
0,2,29,1015.17,0.0135587
0,2,30,996.835,0.016405
0,2,31,979.239,0.0222037
0,2,32,959.03,0.0306608
0,2,33,935.081,0.0409059
0,2,34,908.727,0.0512583
0,2,35,883.191,0.0595054
0,2,36,862.353,0.0635305
0,2,37,849.455,0.0621107
0,2,38,845.379,0.0554601
0,2,39,848.881,0.0451666
0,2,40,856.817,0.0335557
0,2,41,865.729,0.0227989
0,2,42,872.856,0.0142754
0,2,43,876.449,0.00838804
0,2,44,875.438,0.00479568
0,2,45,868.535,0.00282133
0,2,46,854.025,0.00178712
0,2,47,830.646,0.00121362
0,2,48,798.693,0.000862481
0,2,49,760.673,0.000592769
0,3,0,1959.47,0.185038
0,3,1,2115.37,0.221245
0,3,2,2203.79,0.247494
0,3,3,2230.95,0.260604
0,3,4,2211.23,0.259516
0,3,5,2162.95,0.245004
0,3,6,2104.3,0.219336
0,3,7,2049.09,0.185946
0,3,8,2003.93,0.149068
0,3,9,1968.77,0.11308
0,3,10,1939.89,0.0816761
0,3,11,1912.75,0.0571156
0,3,12,1885.05,0.0402327
0,3,13,1854.92,0.0306578
0,3,14,1821.69,0.0276123
0,3,15,1784.52,0.0303133
0,3,16,1742.39,0.0378733
0,3,17,1694.83,0.0492067
0,3,18,1641.47,0.0622251
0,3,19,1582.42,0.0739985
0,3,20,1518.35,0.0815449
0,3,21,1450.65,0.0827681
0,3,22,1381.41,0.0773709
0,3,23,1313.09,0.0669162
0,3,24,1248.55,0.0540716
0,3,25,1190.69,0.0415451
0,3,26,1141.99,0.0313015
0,3,27,1103.84,0.0242303
0,3,28,1075.88,0.0204922
0,3,29,1055.88,0.0198145
0,3,30,1039.87,0.0219015
0,3,31,1023.55,0.0264247
0,3,32,1003.2,0.0329299
0,3,33,977.482,0.0406091
0,3,34,947.829,0.0481083
0,3,35,917.967,0.0537657
0,3,36,892.576,0.0560304
0,3,37,875.758,0.0540282
0,3,38,869.053,0.0479617
0,3,39,871.499,0.0390872
0,3,40,879.736,0.0292663
0,3,41,889.742,0.0202537
0,3,42,898.026,0.0131819
0,3,43,902.176,0.00836916
0,3,44,900.764,0.00548885
0,3,45,892.559,0.00391489
0,3,46,876.099,0.00303154
0,3,47,850.419,0.002412
0,3,48,815.977,0.00187738
0,3,49,775.302,0.00136487
0,4,0,1920.27,0.176386
0,4,1,2081.24,0.217112
0,4,2,2178.32,0.250547
0,4,3,2216.08,0.272382
0,4,4,2206.89,0.279822
0,4,5,2167,0.271874
0,4,6,2112.9,0.249578
0,4,7,2057.77,0.216027
0,4,8,2008.92,0.176001
0,4,9,1967.88,0.134991
0,4,10,1932.65,0.0979426
0,4,11,1899.98,0.0681451
0,4,12,1868.13,0.0469556
0,4,13,1835.26,0.0341135
0,4,14,1800.34,0.0286264
0,4,15,1762.01,0.0293943
0,4,16,1718.91,0.0352822
0,4,17,1670.51,0.0452246
0,4,18,1616.85,0.0573388
0,4,19,1558.65,0.0689885
0,4,20,1497.17,0.0774377
0,4,21,1434.03,0.0805469
0,4,22,1370.97,0.0777103
0,4,23,1309.81,0.0700141
0,4,24,1252.62,0.05967
0,4,25,1201.67,0.0490866
0,4,26,1159.1,0.0401492
0,4,27,1126.19,0.033824
0,4,28,1102.59,0.0303559
0,4,29,1086.12,0.0294753
0,4,30,1072.74,0.0307644
0,4,31,1057.95,0.0337023
0,4,32,1037.82,0.0377058
0,4,33,1010.78,0.0420696
0,4,34,978.323,0.0458391
0,4,35,944.545,0.048006
0,4,36,914.814,0.0477109
0,4,37,894.021,0.044556
0,4,38,884.394,0.0388164
0,4,39,885.331,0.0314276
0,4,40,893.338,0.0237323
0,4,41,903.872,0.0169622
0,4,42,912.701,0.0118927
0,4,43,916.761,0.008667
0,4,44,914.339,0.00690777
0,4,45,904.474,0.00600161
0,4,46,886.207,0.00538116
0,4,47,859.061,0.0046823
0,4,48,823.668,0.00382191
0,4,49,782.364,0.00286488
0,5,0,1867.63,0.167023
0,5,1,2033.53,0.211003
0,5,2,2139.66,0.250076
0,5,3,2188.47,0.279128
0,5,4,2189.9,0.294017
0,5,5,2157.83,0.292287
0,5,6,2106.93,0.27383
0,5,7,2049.81,0.241228
0,5,8,1994.71,0.199454
0,5,9,1945.12,0.154742
0,5,10,1901.18,0.11304
0,5,11,1861.21,0.0785783
0,5,12,1824.11,0.0533072
0,5,13,1787.99,0.0371825
0,5,14,1751.28,0.0290826
0,5,15,1712.02,0.0276176
0,5,16,1668.37,0.0313944
0,5,17,1619.79,0.0393477
0,5,18,1566.77,0.0498506
0,5,19,1510.73,0.0606929
0,5,20,1453.6,0.0695858
0,5,21,1397.13,0.0745362
0,5,22,1342.6,0.0747358
0,5,23,1290.95,0.070767
0,5,24,1243.22,0.064237
0,5,25,1200.9,0.0570443
0,5,26,1165.66,0.0507832
0,5,27,1138.62,0.0463251
0,5,28,1119.56,0.0438874
0,5,29,1106.47,0.043165
0,5,30,1095.48,0.0436463
0,5,31,1082.1,0.0447141
0,5,32,1062.32,0.0457763
0,5,33,1034.44,0.0463262
0,5,34,999.912,0.04587
0,5,35,963.03,0.0440657
0,5,36,929.636,0.0407395
0,5,37,905.204,0.0359868
0,5,38,892.566,0.0302005
0,5,39,891.494,0.0240517
0,5,40,898.477,0.0184119
0,5,41,908.612,0.0139932
0,5,42,917.096,0.0111813
0,5,43,920.362,0.00987899
0,5,44,916.549,0.00957628
0,5,45,905.088,0.00959165
0,5,46,885.621,0.00934606
0,5,47,858.177,0.00851625
0,5,48,823.461,0.00713815
0,5,49,783.396,0.00545706
0,6,0,1817.1,0.1586
0,6,1,1987.97,0.204191
0,6,2,2102.9,0.246647
0,6,3,2162.1,0.280484
0,6,4,2173.01,0.300795
0,6,5,2147.11,0.304163
0,6,6,2097.4,0.289569
0,6,7,2036.04,0.258952
0,6,8,1972.39,0.217078
0,6,9,1912.15,0.170443
0,6,10,1857.77,0.125611
0,6,11,1809.24,0.0875704
0,6,12,1766.13,0.0588915
0,6,13,1726.43,0.0398564
0,6,14,1687.94,0.0293433
0,6,15,1647.99,0.0257552
0,6,16,1604.29,0.0274677
0,6,17,1556.28,0.0333746
0,6,18,1504.87,0.0420728
0,6,19,1452.11,0.0517833
0,6,20,1400.44,0.0607368
0,6,21,1351.64,0.0672209
0,6,22,1306.44,0.070382
0,6,23,1264.89,0.0704184
0,6,24,1226.99,0.068367
0,6,25,1193.44,0.0655483
0,6,26,1165.38,0.0631025
0,6,27,1143.82,0.0615845
0,6,28,1128.68,0.0609726
0,6,29,1118.22,0.0607926
0,6,30,1108.92,0.0604331
0,6,31,1096.49,0.0593077
0,6,32,1077.03,0.0570117
0,6,33,1048.8,0.0533983
0,6,34,1013.16,0.0485099
0,6,35,974.408,0.0426303
0,6,36,938.546,0.0361655
0,6,37,911.295,0.0296167
0,6,38,895.872,0.0234772
0,6,39,892.367,0.0182121
0,6,40,897.399,0.0143274
0,6,41,905.992,0.0121015
0,6,42,913.105,0.0115692
0,6,43,914.972,0.0123701
0,6,44,909.752,0.0137863
0,6,45,897.281,0.0149684
0,6,46,877.698,0.0152324
0,6,47,851.352,0.0142425
0,6,48,818.797,0.012154
0,6,49,781.356,0.00943762
0,7,0,1777.8,0.151164
0,7,1,1953.6,0.196671
0,7,2,2076.48,0.24016
0,7,3,2144.59,0.276203
0,7,4,2163.08,0.299696
0,7,5,2141.34,0.306777
0,7,6,2090.91,0.295786
0,7,7,2023.67,0.26796
0,7,8,1950.18,0.22752
0,7,9,1878.26,0.180777
0,7,10,1812.69,0.134525
0,7,11,1755.1,0.0942811
0,7,12,1705.7,0.0632072
0,7,13,1662.31,0.0419886
0,7,14,1622.07,0.0296368
0,7,15,1581.66,0.0244616
0,7,16,1538.41,0.0246649
0,7,17,1491.75,0.0290492
0,7,18,1442.87,0.0363273
0,7,19,1394.24,0.0450303
0,7,20,1348.54,0.0538305
0,7,21,1307.44,0.0613455
0,7,22,1271.11,0.0668536
0,7,23,1238.85,0.0704168
0,7,24,1209.78,0.0727203
0,7,25,1183.92,0.074601
0,7,26,1161.94,0.0766634
0,7,27,1144.75,0.0789162
0,7,28,1132.36,0.0808217
0,7,29,1123.39,0.0815297
0,7,30,1114.77,0.08028
0,7,31,1102.6,0.0766398
0,7,32,1083.29,0.0706115
0,7,33,1055.18,0.0625999
0,7,34,1019.53,0.0532679
0,7,35,980.442,0.0434646
0,7,36,943.706,0.0340254
0,7,37,914.89,0.0257114
0,7,38,897.285,0.0190507
0,7,39,891.184,0.0143382
0,7,40,893.469,0.0118294
0,7,41,899.431,0.0114913
0,7,42,904.222,0.013092
0,7,43,904.263,0.016028
0,7,44,897.926,0.0193312
0,7,45,885.376,0.0218979
0,7,46,866.995,0.0228397
0,7,47,843.103,0.0217329
0,7,48,813.81,0.0188221
0,7,49,779.692,0.0148231
0,8,0,1753.58,0.144421
0,8,1,1933.88,0.188506
0,8,2,2063.28,0.231161
0,8,3,2138.26,0.267303
0,8,4,2162.14,0.292037
0,8,5,2142.62,0.301453
0,8,6,2090.1,0.293498
0,8,7,2016.3,0.268752
0,8,8,1932.81,0.230725
0,8,9,1849.41,0.185263
0,8,10,1772.93,0.139095
0,8,11,1706.52,0.0980349
0,8,12,1650.96,0.0657436
0,8,13,1603.92,0.0433179
0,8,14,1561.93,0.0300006
0,8,15,1521.18,0.0241242
0,8,16,1478.76,0.0237993
0,8,17,1434.09,0.0276931
0,8,18,1388.5,0.0344794
0,8,19,1344.56,0.0427811
0,8,20,1304.91,0.0514977
0,8,21,1270.93,0.0595208
0,8,22,1242.31,0.0664014
0,8,23,1217.79,0.0723683
0,8,24,1195.88,0.0780987
0,8,25,1176.09,0.0841832
0,8,26,1158.7,0.0907303
0,8,27,1144.46,0.0970504
0,8,28,1133.51,0.10185
0,8,29,1124.8,0.103697
0,8,30,1115.8,0.101608
0,8,31,1103.17,0.0953668
0,8,32,1083.83,0.0855311
0,8,33,1056.28,0.0731788
0,8,34,1021.72,0.0596313
0,8,35,983.861,0.0462263
0,8,36,947.946,0.0340915
0,8,37,919.016,0.0241162
0,8,38,900.124,0.0168056
0,8,39,891.626,0.0123128
0,8,40,890.757,0.0107401
0,8,41,893.368,0.0118627
0,8,42,895.204,0.0152756
0,8,43,893.245,0.0201865
0,8,44,886.247,0.0253828
0,8,45,874.59,0.0294655
0,8,46,858.581,0.0312695
0,8,47,838.119,0.0302011
0,8,48,812.573,0.02653
0,8,49,781.696,0.0211903
0,9,0,1745.26,0.138719
0,9,1,1929.2,0.180724
0,9,2,2063.2,0.221464
0,9,3,2142.65,0.256301
0,9,4,2169.61,0.280749
0,9,5,2150.56,0.291098
0,9,6,2095.08,0.285162
0,9,7,2014.75,0.263044
0,9,8,1922,0.227605
0,9,9,1828.14,0.184148
0,9,10,1741.76,0.139154
