x,y,z,ECM_density,Fib_field
0,0,0,1945.27,0.36153
0,0,1,2118.29,0.415018
0,0,2,2208.94,0.441679
0,0,3,2223.46,0.439406
0,0,4,2178.17,0.413047
0,0,5,2095.19,0.371861
0,0,6,1996.8,0.325874
0,0,7,1899.1,0.282755
0,0,8,1808.74,0.246339
0,0,9,1724.81,0.21673
0,0,10,1644.63,0.191524
0,0,11,1567.82,0.1674
0,0,12,1499.34,0.142272
0,0,13,1445.2,0.115658
0,0,14,1410.36,0.0890626
0,0,15,1395.35,0.0651821
0,0,16,1395.83,0.0464862
0,0,17,1404.96,0.0349825
0,0,18,1415.44,0.0317158
0,0,19,1421.68,0.0372418
0,0,20,1419.88,0.0512981
0,0,21,1408.26,0.0726654
0,0,22,1386.22,0.0987535
0,0,23,1354.69,0.125519
0,0,24,1315.85,0.147915
0,0,25,1272.83,0.161476
0,0,26,1228.91,0.163613
0,0,27,1186.47,0.154334
0,0,28,1146.35,0.136065
0,0,29,1108.02,0.112658
0,0,30,1070.52,0.0882569
0,0,31,1033.03,0.066321
0,0,32,995.61,0.0491829
0,0,33,959.305,0.0378659
0,0,34,925.513,0.0323904
0,0,35,895.252,0.0319903
0,0,36,868.333,0.0356669
0,0,37,844.094,0.0423511
0,0,38,821.142,0.050868
0,0,39,799.557,0.0603908
0,0,40,780.145,0.0698989
0,0,41,766.642,0.0789382
0,0,42,763.874,0.0874221
0,0,43,775.635,0.0954613
0,0,44,801.98,0.103049
0,0,45,837.113,0.109569
0,0,46,869.678,0.113627
0,0,47,886.047,0.113422
0,0,48,874.865,0.107466
0,0,49,831.549,0.0954509
0,1,0,2087.49,0.406459
0,1,1,2272.28,0.467885
0,1,2,2371.24,0.499808
0,1,3,2391.83,0.499479
0,1,4,2350.69,0.471674
0,1,5,2269.65,0.426105
0,1,6,2170.61,0.373672
0,1,7,2069.64,0.323163
0,1,8,1973.88,0.279569
0,1,9,1883.27,0.243915
0,1,10,1796.18,0.214255
0,1,11,1713.41,0.187154
0,1,12,1640.99,0.160041
0,1,13,1585.75,0.131808
0,1,14,1552.68,0.103555
0,1,15,1541.75,0.0779553
0,1,16,1547.41,0.0577858
0,1,17,1561.47,0.0455179
0,1,18,1575.55,0.0425135
0,1,19,1583.39,0.0494759
0,1,20,1580.93,0.0660407
0,1,21,1566.55,0.0907277
0,1,22,1540.11,0.120612
0,1,23,1503.38,0.151299
0,1,24,1459.49,0.177357
0,1,25,1412.4,0.19392
0,1,26,1365.68,0.197938
0,1,27,1321.32,0.188979
0,1,28,1279.27,0.169186
0,1,29,1237.95,0.142434
0,1,30,1195.82,0.113289
0,1,31,1152.06,0.085929
0,1,32,1107.29,0.0635143
0,1,33,1063.35,0.0477183
0,1,34,1022.29,0.0389339
0,1,35,985.461,0.0364748
0,1,36,952.64,0.03924
0,1,37,923.075,0.0459944
0,1,38,895.299,0.0553493
0,1,39,869.601,0.0662906
0,1,40,847.077,0.0775405
0,1,41,831.686,0.0883952
0,1,42,828.184,0.0985736
0,1,43,839.854,0.108064
0,1,44,865.911,0.116795
0,1,45,899.629,0.124046
0,1,46,928.915,0.128247
0,1,47,939.849,0.127415
0,1,48,921.252,0.120004
0,1,49,869.178,0.105859
0,2,0,2152.55,0.425849
0,2,1,2345.35,0.49173
0,2,2,2451.76,0.527522
0,2,3,2479.66,0.529863
0,2,4,2445.44,0.502899
0,2,5,2370.08,0.455932
0,2,6,2274.48,0.399947
0,2,7,2174.23,0.344426
0,2,8,2076.75,0.295503
0,2,9,1983.05,0.255396
0,2,10,1892.84,0.222948
0,2,11,1808.19,0.194849
0,2,12,1735.94,0.16808
0,2,13,1683.24,0.140787
0,2,14,1654.61,0.113454
0,2,15,1649.1,0.0885094
0,2,16,1660.02,0.0689158
0,2,17,1678.25,0.0575088
0,2,18,1694.81,0.0558618
0,2,19,1703.27,0.0646743
0,2,20,1699.66,0.083353
0,2,21,1682.63,0.11013
0,2,22,1652.56,0.141939
0,2,23,1611.92,0.174459
0,2,24,1564.72,0.202457
0,2,25,1515.64,0.221135
0,2,26,1468.38,0.22717
0,2,27,1424.42,0.219509
0,2,28,1382.55,0.199589
0,2,29,1340.06,0.170849
0,2,30,1294.69,0.137932
0,2,31,1245.62,0.105612
0,2,32,1194.05,0.0779094
0,2,33,1142.73,0.0572667
0,2,34,1094.42,0.0445722
0,2,35,1050.96,0.039314
0,2,36,1012.31,0.0403311
0,2,37,977.83,0.0462553
0,2,38,946.165,0.0555374
0,2,39,917.807,0.0670286
0,2,40,893.962,0.0792634
0,2,41,878.271,0.0913256
0,2,42,874.73,0.102749
0,2,43,885.539,0.113392
0,2,44,908.949,0.12312
0,2,45,937.8,0.131136
0,2,46,960.256,0.135739
0,2,47,963.226,0.134801
0,2,48,936.612,0.126714
0,2,49,877.513,0.111421
0,3,0,2152.71,0.421279
0,3,1,2351.04,0.488197
0,3,2,2464.51,0.526323
0,3,3,2500.62,0.531762
0,3,4,2474.99,0.507584
0,3,5,2407.45,0.461953
0,3,6,2317.64,0.405242
0,3,7,2220.49,0.3472
0,3,8,2123.76,0.295002
0,3,9,2029.73,0.252179
0,3,10,1939.61,0.218581
0,3,11,1856.63,0.191223
0,3,12,1788.02,0.166743
0,3,13,1740.67,0.142574
0,3,14,1718.1,0.118512
0,3,15,1718.22,0.0966109
0,3,16,1733.44,0.0798789
0,3,17,1754.18,0.0713281
0,3,18,1771.5,0.0725296
0,3,19,1779.33,0.0839235
0,3,20,1774.12,0.104494
0,3,21,1754.92,0.132123
0,3,22,1722.43,0.163788
0,3,23,1679.6,0.195681
0,3,24,1631,0.223365
0,3,25,1581.76,0.242639
0,3,26,1535.64,0.250167
0,3,27,1493.55,0.244226
0,3,28,1453.23,0.225246
0,3,29,1410.91,0.195834
0,3,30,1363.53,0.160375
0,3,31,1310.21,0.124019
0,3,32,1252.62,0.091565
0,3,33,1194.3,0.0662295
0,3,34,1138.81,0.04945
0,3,35,1088.66,0.0409505
0,3,36,1044.3,0.0395491
0,3,37,1005.47,0.0437801
0,3,38,971.15,0.0520028
0,3,39,941.99,0.0630134
0,3,40,919.006,0.0752713
0,3,41,904.954,0.0877511
0,3,42,902.44,0.0998717
0,3,43,912.164,0.111387
0,3,44,931.439,0.122102
0,3,45,953.21,0.131148
0,3,46,966.743,0.136703
0,3,47,960.635,0.136481
0,3,48,926.473,0.128745
0,3,49,862.581,0.113417
0,4,0,2108.81,0.400029
0,4,1,2310.79,0.46548
0,4,2,2430.8,0.504664
0,4,3,2475.28,0.513247
0,4,4,2458.7,0.493008
0,4,5,2399.5,0.450558
0,4,6,2316.06,0.395216
0,4,7,2222.75,0.336667
0,4,8,2127.94,0.282942
0,4,9,2035.31,0.238843
0,4,10,1947.6,0.205277
0,4,11,1868.88,0.179722
0,4,12,1806.27,0.158644
0,4,13,1765.81,0.138937
0,4,14,1749.62,0.119794
0,4,15,1754.47,0.102862
0,4,16,1772.19,0.0910567
0,4,17,1793.34,0.0873283
0,4,18,1809.63,0.0929786
0,4,19,1815.78,0.10789
0,4,20,1809,0.130403
0,4,21,1788.66,0.157951
0,4,22,1755.59,0.187667
0,4,23,1712.73,0.216584
0,4,24,1664.67,0.241545
0,4,25,1616.72,0.259405
0,4,26,1572.56,0.267159
0,4,27,1532.79,0.262536
0,4,28,1494.43,0.244889
0,4,29,1452.88,0.215787
0,4,30,1404.42,0.179068
0,4,31,1347.88,0.139974
0,4,32,1285.18,0.103854
0,4,33,1220.43,0.0745662
0,4,34,1157.96,0.0540593
0,4,35,1101.15,0.0423078
0,4,36,1051.27,0.0381461
0,4,37,1008.75,0.040055
0,4,38,973.068,0.0463807
0,4,39,944.935,0.0559549
0,4,40,924.852,0.0672953
0,4,41,914.229,0.0794069
0,4,42,913.885,0.0916999
0,4,43,922.868,0.103868
0,4,44,937.722,0.115652
0,4,45,951.933,0.126077
0,4,46,956.378,0.133174
0,4,47,941.756,0.134448
0,4,48,901.531,0.127964
0,4,49,835.156,0.113501
0,5,0,2045.24,0.371094
0,5,1,2249.31,0.433775
0,5,2,2374.85,0.473145
0,5,3,2426.9,0.484546
0,5,4,2418.48,0.468509
0,5,5,2366.61,0.430051
0,5,6,2288.53,0.377305
0,5,7,2198.4,0.319683
0,5,8,2105.43,0.265824
0,5,9,2014.86,0.221568
0,5,10,1930.74,0.188769
0,5,11,1857.58,0.165413
0,5,12,1801.82,0.147991
0,5,13,1768.17,0.133113
0,5,14,1757.26,0.119571
0,5,15,1764.88,0.108653
0,5,16,1782.82,0.103079
0,5,17,1802.31,0.105518
0,5,18,1816.2,0.11678
0,5,19,1820.35,0.135957
0,5,20,1812.82,0.160571
0,5,21,1793.23,0.1875
0,5,22,1762.08,0.21404
0,5,23,1721.74,0.23819
0,5,24,1676.24,0.258318
0,5,25,1630.61,0.272658
0,5,26,1588.49,0.278876
0,5,27,1550.49,0.274456
0,5,28,1513.49,0.257859
0,5,29,1472.56,0.229618
0,5,30,1423.44,0.192841
0,5,31,1364.57,0.152549
0,5,32,1297.76,0.114298
0,5,33,1227.4,0.0823316
0,5,34,1158.45,0.0589776
0,5,35,1095.29,0.0444249
0,5,36,1040.28,0.0375596
0,5,37,994.757,0.0368646
0,5,38,958.815,0.0407572
0,5,39,933.074,0.048195
0,5,40,917.258,0.0578818
0,5,41,911.2,0.0689878
0,5,42,913.863,0.0810186
0,5,43,922.783,0.0936505
0,5,44,933.985,0.106534
0,5,45,941.74,0.11854
0,5,46,938.635,0.127498
0,5,47,917.416,0.130677
0,5,48,873.212,0.125903
0,5,49,806.297,0.112758
0,6,0,1983.82,0.341416
0,6,1,2188.89,0.400842
0,6,2,2318.61,0.439693
0,6,3,2376.57,0.453135
0,6,4,2374.35,0.44075
0,6,5,2327.67,0.406258
0,6,6,2252.91,0.356745
0,6,7,2164.34,0.301239
0,6,8,2072.26,0.248652
0,6,9,1983.48,0.205468
0,6,10,1903.06,0.174196
0,6,11,1835.45,0.15326
0,6,12,1785.89,0.139324
0,6,13,1757.5,0.128967
0,6,14,1749.5,0.120817
0,6,15,1757.21,0.115923
0,6,16,1772.94,0.116765
0,6,17,1789.13,0.125633
0,6,18,1800.1,0.142768
0,6,19,1802.96,0.166399
0,6,20,1796.51,0.193169
0,6,21,1780.32,0.219319
0,6,22,1754.08,0.242188
0,6,23,1719,0.260632
0,6,24,1677.93,0.274507
0,6,25,1635.25,0.283529
0,6,26,1594.59,0.286335
0,6,27,1557.01,0.280566
0,6,28,1519.93,0.264178
0,6,29,1478.69,0.23688
0,6,30,1428.74,0.200996
0,6,31,1368.07,0.161047
0,6,32,1298.08,0.122417
0,6,33,1223.1,0.0893945
0,6,34,1148.56,0.0644851
0,6,35,1079.79,0.0479989
