x,y,z,Type,State,extra
19,40,5,8,19,0
11,43,47,8,19,0
38,20,47,8,19,0
44,24,14,8,19,0
12,38,36,8,19,0
29,26,11,8,19,0
3,49,41,8,19,0
25,15,33,8,19,0
0,4,39,8,19,0
33,45,20,8,19,0
3,16,0,8,19,0
7,28,43,8,19,0
21,34,31,8,19,0
10,1,40,8,19,0
8,42,32,8,19,0
24,24,49,8,19,0
6,49,47,8,19,0
23,17,43,8,19,0
19,27,46,8,19,0
10,0,5,8,19,0
39,17,44,8,19,0
18,37,28,8,19,0
25,29,16,8,19,0
44,16,5,8,19,0
26,28,14,8,19,0
34,20,27,8,19,0
7,48,48,8,19,0
24,30,39,8,19,0
1,39,16,8,19,0
29,24,28,8,19,0
32,21,28,8,19,0
4,22,0,8,19,0
47,32,28,8,19,0
15,28,48,8,19,0
3,33,38,8,19,0
28,49,21,8,19,0
33,13,3,8,19,0
17,6,38,8,19,0
28,12,33,8,19,0
35,13,1,8,19,0
24,22,41,8,19,0
22,23,47,8,19,0
0,42,24,8,19,0
43,35,1,8,19,0
5,22,0,8,19,0
38,29,0,8,19,0
29,26,30,8,19,0
25,22,40,8,19,0
3,36,43,8,19,0
29,12,34,8,19,0
33,20,28,8,19,0
0,4,0,8,19,0
4,14,42,8,19,0
25,21,39,8,19,0
6,40,18,8,19,0
33,12,38,8,19,0
6,41,25,8,19,0
2,3,4,8,19,0
32,12,37,8,19,0
17,38,27,8,19,0
3,35,30,8,19,0
21,24,47,8,19,0
27,33,21,8,19,0
0,46,30,8,19,0
38,18,8,8,19,0
26,45,0,8,19,0
19,30,43,8,19,0
0,39,40,8,19,0
1,24,46,8,19,0
9,6,38,8,19,0
36,43,11,8,19,0
8,22,49,8,19,0
9,36,42,8,19,0
26,31,37,8,19,0
25,35,4,8,19,0
0,40,22,8,19,0
9,3,13,8,19,0
9,38,5,8,19,0
0,20,41,8,19,0
37,22,24,8,19,0
23,29,29,8,19,0
39,30,1,8,19,0
16,40,8,8,19,0
18,9,34,8,19,0
0,43,27,8,19,0
47,31,20,8,19,0
0,44,28,8,19,0
41,19,46,8,19,0
15,49,33,8,19,0
45,15,6,8,19,0
0,13,0,8,19,0
14,3,19,8,19,0
17,9,33,8,19,0
41,37,20,8,19,0
12,43,22,8,19,0
0,11,0,8,19,0
23,22,48,8,19,0
7,22,0,8,19,0
20,32,7,8,19,0
13,26,48,8,19,0
21,27,31,8,19,0
23,11,37,8,19,0
49,21,33,8,19,0
26,43,0,8,19,0
13,0,36,8,19,0
23,19,45,8,19,0
5,26,41,8,19,0
22,28,30,8,19,0
33,0,4,8,17,0
6,10,45,8,19,0
2,24,45,8,19,0
10,11,42,8,19,0
6,49,45,8,19,0
23,31,42,8,19,0
11,0,38,8,19,0
12,33,48,8,19,0
9,37,46,8,19,0
35,28,5,8,19,0
42,22,12,8,19,0
23,22,42,8,19,0
43,17,4,8,19,0
0,19,41,8,19,0
27,33,19,8,19,0
28,28,46,8,19,0
1,1,0,8,19,0
2,15,41,8,19,0
11,37,3,8,19,0
23,16,42,8,19,0
9,30,45,8,19,0
6,45,29,8,19,0
5,18,0,8,19,0
32,23,0,8,19,0
3,34,37,8,19,0
48,33,29,8,19,0
45,33,20,8,19,0
27,33,23,8,19,0
44,20,45,8,19,0
30,9,15,8,19,0
23,20,46,8,19,0
46,32,20,8,19,0
42,36,20,8,19,0
0,42,27,8,19,0
3,49,39,8,19,0
24,31,35,8,19,0
29,49,21,8,19,0
11,9,27,8,19,0
26,47,0,8,19,0
46,3,27,8,19,0
31,31,42,8,19,0
39,40,10,8,19,0
46,20,47,8,19,0
10,31,46,8,19,0
25,18,6,8,19,0
8,13,47,8,19,0
5,44,34,8,19,0
27,12,12,8,19,0
47,16,28,8,19,0
14,40,10,8,19,0
39,45,15,8,19,0
8,38,6,8,19,0
9,49,39,8,19,0
8,37,5,8,19,0
3,35,36,8,19,0
0,24,2,8,17,0
2,32,30,8,19,0
22,21,43,8,19,0
49,22,37,8,19,0
19,49,29,8,19,0
16,39,0,8,19,0
39,19,9,8,19,0
9,45,45,8,19,0
16,39,26,8,19,0
0,40,21,8,19,0
39,46,16,8,19,0
43,36,4,8,19,0
35,19,48,8,19,0
9,40,46,8,19,0
34,14,4,8,19,0
3,45,27,8,19,0
7,40,17,8,19,0
19,39,0,8,19,0
24,40,0,8,19,0
23,31,47,8,19,0
1,39,24,8,19,0
48,30,20,8,19,0
5,26,46,8,19,0
9,3,11,8,19,0
46,2,27,8,19,0
3,35,31,8,19,0
3,49,37,8,19,0
6,39,25,8,19,0
20,39,0,8,19,0
29,31,40,8,19,0
0,40,23,8,19,0
15,3,20,8,19,0
3,25,46,8,19,0
19,9,35,8,19,0
9,41,33,8,19,0
35,13,40,8,19,0
6,42,26,8,19,0
25,25,49,8,19,0
12,40,12,8,19,0
3,28,43,8,19,0
11,24,0,8,19,0
32,12,2,8,19,0
5,29,46,8,19,0
26,28,43,8,19,0
4,40,20,8,19,0
12,0,37,8,19,0
3,40,21,8,19,0
37,42,10,8,19,0
0,32,30,8,19,0
19,31,42,8,19,0
3,36,27,8,19,0
15,40,9,8,19,0
0,12,0,8,19,0
10,37,3,8,19,0
26,46,0,8,19,0
42,37,5,8,19,0
10,30,40,8,19,0
10,0,39,8,19,0
4,37,13,8,19,0
12,25,0,8,19,0
17,37,48,8,19,0
11,32,47,8,19,0
6,3,8,8,19,0
3,0,0,8,19,0
3,35,34,8,19,0
7,47,43,8,19,0
17,33,49,8,19,0
39,42,12,8,19,0
18,33,49,8,19,0
39,41,11,8,19,0
3,49,40,8,19,0
32,1,7,8,19,0
10,26,48,8,19,0
21,39,0,8,19,0
1,4,3,8,19,0
30,21,1,8,19,0
15,27,2,8,19,0
23,23,49,8,19,0
1,5,2,8,19,0
31,31,43,8,19,0
36,14,41,8,19,0
33,46,18,8,19,0
16,34,40,8,19,0
23,12,38,8,19,0
35,44,12,8,19,0
17,4,36,8,19,0
8,18,49,8,19,0
22,21,45,8,19,0
36,14,1,8,19,0
5,27,46,8,19,0
1,0,5,8,17,0
38,16,43,8,19,0
26,30,37,8,19,0
6,38,8,8,19,0
4,0,38,8,19,0
9,42,48,8,19,0
9,43,49,8,19,0
7,49,41,8,19,0
25,15,9,8,19,0
1,41,23,8,19,0
27,49,21,8,19,0
38,41,9,8,19,0
19,35,46,8,19,0
23,13,39,8,19,0
1,0,38,8,19,0
5,31,46,8,19,0
6,44,28,8,19,0
16,38,49,8,19,0
2,5,2,8,19,0
10,40,14,8,19,0
12,49,36,8,19,0
10,23,0,8,19,0
6,45,11,8,19,0
25,29,15,8,19,0
26,28,44,8,19,0
10,9,26,8,17,0
42,33,0,8,19,0
9,45,49,8,19,0
39,30,0,8,19,0
11,1,9,8,19,0
19,36,29,8,19,0
30,48,20,8,19,0
22,21,44,8,19,0
2,23,39,8,19,0
10,2,40,8,19,0
1,32,30,8,19,0
2,41,37,8,19,0
1,0,5,8,19,0
11,22,48,8,19,0
