x,y,z,ECM_density,Fib_field
0,0,0,2615.77,0.181454
0,0,1,2676.18,0.233363
0,0,2,2729.27,0.279582
0,0,3,2772.65,0.313949
0,0,4,2806.99,0.333428
0,0,5,2835.32,0.338904
0,0,6,2861.77,0.334795
0,0,7,2890.02,0.32713
0,0,8,2922.53,0.321479
0,0,9,2960.26,0.321322
0,0,10,3003.39,0.32814
0,0,11,3051.51,0.341734
0,0,12,3103.81,0.360887
0,0,13,3158.56,0.383652
0,0,14,3212.65,0.407269
0,0,15,3262,0.427956
0,0,16,3301.76,0.441514
0,0,17,3328.01,0.445458
0,0,18,3338.38,0.439841
0,0,19,3332.44,0.427533
0,0,20,3311.24,0.412548
0,0,21,3276.25,0.397662
0,0,22,3228.62,0.382431
0,0,23,3168.74,0.363307
0,0,24,3096.99,0.335887
0,0,25,3014.89,0.297395
0,0,26,2925.88,0.249034
0,0,27,2835.21,0.195987
0,0,28,2748.76,0.145365
0,0,29,2671.48,0.1039
0,0,30,2606.1,0.0758578
0,0,31,2552.98,0.0621866
0,0,32,2510.94,0.0608397
0,0,33,2478.01,0.0681357
0,0,34,2452.16,0.0794616
0,0,35,2431.84,0.0905519
0,0,36,2415.83,0.0983931
0,0,37,2403.58,0.101607
0,0,38,2394.56,0.0999524
0,0,39,2388.46,0.0942808
0,0,40,2384.86,0.0855313
0,0,41,2383.23,0.0745447
0,0,42,2382.95,0.0621624
0,0,43,2383.35,0.0494317
0,0,44,2383.93,0.0375495
0,0,45,2384.12,0.0274904
0,0,46,2383.46,0.0197269
0,0,47,2381.64,0.0140745
0,0,48,2378.59,0.00994707
0,0,49,2374.6,0.00693992
0,1,0,2653.52,0.217267
0,1,1,2721.03,0.279786
0,1,2,2779.73,0.335454
0,1,3,2827.17,0.376644
0,1,4,2864.49,0.399445
0,1,5,2895.38,0.404743
0,1,6,2924.67,0.397886
0,1,7,2956.52,0.386474
0,1,8,2993.49,0.377695
0,1,9,3036.29,0.376209
0,1,10,3084.63,0.383845
0,1,11,3137.6,0.399883
0,1,12,3193.91,0.422023
0,1,13,3251.47,0.447067
0,1,14,3307.04,0.47118
0,1,15,3356.55,0.489974
0,1,16,3395.39,0.499153
0,1,17,3420.02,0.496846
0,1,18,3428.44,0.484275
0,1,19,3420.51,0.465797
0,1,20,3397.32,0.446701
0,1,21,3360.17,0.430318
0,1,22,3309.87,0.415834
0,1,23,3246.41,0.398567
0,1,24,3169.95,0.372705
0,1,25,3081.97,0.334267
0,1,26,2986.23,0.283912
0,1,27,2888.5,0.227023
0,1,28,2795.25,0.171489
0,1,29,2711.91,0.125139
0,1,30,2641.39,0.0932164
0,1,31,2583.97,0.0772957
0,1,32,2538.2,0.0754234
0,1,33,2501.9,0.0835173
0,1,34,2472.88,0.0962506
0,1,35,2449.56,0.108571
0,1,36,2430.74,0.116876
0,1,37,2415.94,0.119586
