x,y,z,ECM_density,Fib_field
0,0,0,1775.64,0.135717
0,0,1,1909.2,0.145952
0,0,2,1988.27,0.143203
0,0,3,2015.85,0.128958
0,0,4,2003.77,0.10788
0,0,5,1968.42,0.0859161
0,0,6,1926.18,0.0681359
0,0,7,1889.14,0.0571881
0,0,8,1862.65,0.052897
0,0,9,1846.3,0.0529021
0,0,10,1836.83,0.0539223
0,0,11,1830.47,0.0530443
0,0,12,1825.1,0.0489508
0,0,13,1818.56,0.0417138
0,0,14,1809.15,0.0326986
0,0,15,1794.56,0.0235806
0,0,16,1772.24,0.0156736
0,0,17,1740.64,0.0096461
0,0,18,1699.03,0.00552972
0,0,19,1648.01,0.00297643
0,0,20,1589.41,0.00151632
0,0,21,1525.78,0.000716904
0,0,22,1460.11,0.000314622
0,0,23,1394.94,0.000146803
0,0,24,1332.42,8.64481e-05
0,0,25,1274.18,9.05988e-05
0,0,26,1221.59,0.000168855
0,0,27,1175.49,0.000339804
0,0,28,1135.75,0.000639351
0,0,29,1101.32,0.00109174
0,0,30,1070.11,0.00168562
0,0,31,1040.1,0.00255631
0,0,32,1010.02,0.00356249
0,0,33,979.911,0.00492436
0,0,34,951.209,0.00702919
0,0,35,925.982,0.0105128
0,0,36,906.068,0.016062
0,0,37,892.569,0.0240647
0,0,38,885.153,0.0339653
0,0,39,882.596,0.0443067
0,0,40,883.187,0.0529958
0,0,41,885.428,0.0582336
0,0,42,888.277,0.0593901
0,0,43,890.929,0.0572192
0,0,44,892.5,0.0532216
0,0,45,891.511,0.0486509
0,0,46,886.206,0.0438747
0,0,47,875.263,0.038556
0,0,48,858.613,0.0323173
0,0,49,837.796,0.0252956
0,1,0,1883.67,0.159967
0,1,1,2027.32,0.172865
0,1,2,2112.56,0.17072
0,1,3,2143.33,0.155129
0,1,4,2132.3,0.131415
0,1,5,2096.55,0.106463
0,1,6,2053.24,0.0861991
0,1,7,2015.24,0.0737605
0,1,8,1988.44,0.0689587
0,1,9,1972.54,0.0689889
0,1,10,1964,0.0699226
0,1,11,1958.67,0.0682802
0,1,12,1954.07,0.0625314
0,1,13,1947.75,0.0528911
0,1,14,1937.74,0.0411475
0,1,15,1921.43,0.0294432
0,1,16,1896,0.0194205
0,1,17,1859.72,0.0118687
0,1,18,1811.87,0.0067698
0,1,19,1753.36,0.00364108
0,1,20,1686.59,0.00186499
0,1,21,1614.89,0.0008921
0,1,22,1541.96,0.000400903
0,1,23,1470.86,0.000199173
0,1,24,1403.93,0.000134841
0,1,25,1342.69,0.000168312
0,1,26,1288.16,0.000327637
0,1,27,1240.83,0.000658902
0,1,28,1200.08,0.00122407
0,1,29,1164.42,0.00205366
0,1,30,1131.33,0.00310217
0,1,31,1098.46,0.00442793
0,1,32,1064.43,0.00577709
0,1,33,1029.48,0.0072827
0,1,34,995.431,0.00930981
0,1,35,964.851,0.0125617
0,1,36,940.032,0.017851
0,1,37,922.402,0.025719
0,1,38,911.747,0.0356887
0,1,39,906.873,0.0463627
0,1,40,906.016,0.0556711
0,1,41,907.646,0.0618396
0,1,42,910.656,0.0642582
0,1,43,914.057,0.06364
0,1,44,916.638,0.0613092
0,1,45,916.455,0.0582006
0,1,46,911.252,0.0542795
0,1,47,899.308,0.0489114
0,1,48,880.407,0.0416702
0,1,49,856.257,0.0329309
0,2,0,1941.02,0.178792
0,2,1,2090.44,0.194156
0,2,2,2179.89,0.193078
0,2,3,2213.76,0.177155
0,2,4,2204.95,0.152065
0,2,5,2170.69,0.125244
0,2,6,2128.31,0.103153
0,2,7,2090.94,0.0892711
0,2,8,2064.74,0.0834717
0,2,9,2049.49,0.082754
0,2,10,2041.6,0.0828562
0,2,11,2036.76,0.0799955
0,2,12,2032.37,0.0725514
0,2,13,2025.83,0.0608549
0,2,14,2014.98,0.0469832
0,2,15,1997.02,0.0333745
0,2,16,1968.88,0.0218652
0,2,17,1928.72,0.0132872
0,2,18,1875.91,0.0075551
0,2,19,1811.81,0.00407171
0,2,20,1739.48,0.00210623
0,2,21,1663.03,0.00102847
0,2,22,1586.75,0.000481981
0,2,23,1513.98,0.000265742
0,2,24,1447,0.000213283
0,2,25,1386.94,0.000303497
0,2,26,1334.33,0.000598529
0,2,27,1289.08,0.00119309
0,2,28,1250.09,0.0021932
0,2,29,1215.42,0.00363956
0,2,30,1182.18,0.00542908
0,2,31,1147.85,0.00746746
0,2,32,1111.06,0.00931798
0,2,33,1072.25,0.0109291
0,2,34,1033.67,0.0125739
0,2,35,998.354,0.0149892
0,2,36,969.032,0.0191181
0,2,37,947.446,0.0257045
0,2,38,933.547,0.0344708
0,2,39,926.232,0.0442611
0,2,40,923.748,0.0532468
0,2,41,924.562,0.0598515
0,2,42,927.5,0.0635317
0,2,43,931.371,0.064859
0,2,44,934.667,0.0647911
0,2,45,935.096,0.0637776
0,2,46,930.06,0.0612954
0,2,47,917.567,0.0564186
0,2,48,897.263,0.0487099
0,2,49,870.897,0.0387947
0,3,0,1954.29,0.191292
0,3,1,2106.39,0.208771
0,3,2,2198.85,0.209144
0,3,3,2235.95,0.193895
0,3,4,2230.33,0.16872
0,3,5,2198.89,0.141155
0,3,6,2158.64,0.117806
0,3,7,2122.56,0.102314
0,3,8,2096.86,0.0947148
0,3,9,2081.55,0.0921426
0,3,10,2073.22,0.0904332
0,3,11,2067.72,0.0858625
0,3,12,2062.52,0.0768759
0,3,13,2055,0.063851
0,3,14,2042.82,0.0489253
0,3,15,2023.01,0.0345565
0,3,16,1992.32,0.0225647
0,3,17,1948.82,0.0137174
0,3,18,1892.18,0.0078522
0,3,19,1824.33,0.00430566
0,3,20,1749.1,0.00230125
0,3,21,1671.31,0.00119096
0,3,22,1595.62,0.000617991
0,3,23,1525.31,0.000401041
0,3,24,1462.31,0.000371065
0,3,25,1407.15,0.000541615
0,3,26,1359.68,0.00102592
0,3,27,1319.24,0.00199117
0,3,28,1284.21,0.00360934
0,3,29,1252.27,0.00593756
0,3,30,1220.31,0.00879037
0,3,31,1185.75,0.0118436
0,3,32,1147.31,0.0143974
0,3,33,1105.73,0.0161164
0,3,34,1063.65,0.0171167
0,3,35,1024.54,0.018147
0,3,36,991.534,0.0203032
0,3,37,966.654,0.0245851
0,3,38,950.032,0.0310223
0,3,39,940.67,0.0388319
0,3,40,936.81,0.0465702
0,3,41,936.875,0.0529601
0,3,42,939.566,0.057537
0,3,43,943.473,0.0606578
0,3,44,946.871,0.0628186
0,3,45,947.331,0.0639536
0,3,46,942.173,0.0630952
0,3,47,929.333,0.059112
0,3,48,908.367,0.0515938
0,3,49,880.93,0.0413582
0,4,0,1935.37,0.197031
0,4,1,2088.08,0.216178
0,4,2,2182.86,0.218289
0,4,3,2223.43,0.20464
0,4,4,2221.77,0.180624
0,4,5,2193.96,0.153438
0,4,6,2156.26,0.129434
0,4,7,2121.18,0.112218
0,4,8,2094.95,0.102064
0,4,9,2078,0.0965724
0,4,10,2067.53,0.0921169
0,4,11,2059.84,0.0854139
0,4,12,2052.65,0.0751401
0,4,13,2043.31,0.0616427
0,4,14,2029.3,0.0468662
0,4,15,2007.41,0.0329854
0,4,16,1974.24,0.0215777
0,4,17,1927.92,0.0132416
0,4,18,1868.55,0.00773974
0,4,19,1798.76,0.00440574
0,4,20,1723.15,0.00249718
0,4,21,1647.09,0.00141716
0,4,22,1575.29,0.000841488
0,4,23,1510.7,0.000634431
0,4,24,1454.6,0.000633117
0,4,25,1406.82,0.000897817
0,4,26,1366.56,0.00160582
0,4,27,1332.57,0.00301638
0,4,28,1302.83,0.00538599
0,4,29,1274.73,0.00879486
0,4,30,1245.07,0.0129576
0,4,31,1211.28,0.0172655
0,4,32,1172.3,0.0206933
0,4,33,1129.12,0.0225514
0,4,34,1084.76,0.0227568
0,4,35,1043.06,0.022064
0,4,36,1007.51,0.021749
0,4,37,980.399,0.0231037
0,4,38,962.007,0.0265291
0,4,39,951.398,0.0316607
0,4,40,946.746,0.0374769
0,4,41,946.334,0.0430079
0,4,42,948.656,0.0478454
0,4,43,952.086,0.0521074
0,4,44,954.807,0.0558518
0,4,45,954.504,0.0586089
0,4,46,948.7,0.0591278
0,4,47,935.484,0.0562125
0,4,48,914.373,0.049509
0,4,49,886.805,0.039913
0,5,0,1897.7,0.195671
0,5,1,2049.86,0.215986
0,5,2,2146.71,0.220041
0,5,3,2191.12,0.208837
0,5,4,2193.99,0.187189
0,5,5,2170.2,0.161585
0,5,6,2134.85,0.137772
0,5,7,2099.75,0.119114
0,5,8,2071.26,0.10614
0,5,9,2050.58,0.0971376
0,5,10,2035.93,0.0893663
0,5,11,2024.4,0.0803051
0,5,12,2014.08,0.0690178
0,5,13,2002.26,0.0557845
0,5,14,1986.12,0.0421587
0,5,15,1962.16,0.0297846
0,5,16,1926.83,0.019803
0,5,17,1878.41,0.0125576
0,5,18,1817.57,0.007745
0,5,19,1747.64,0.00476135
0,5,20,1673.85,0.00298023
0,5,21,1601.85,0.00192265
0,5,22,1536.1,0.00132448
0,5,23,1478.97,0.00110828
0,5,24,1431.04,0.00111527
0,5,25,1391.48,0.00144931
0,5,26,1358.95,0.00235143
0,5,27,1331.8,0.0041795
0,5,28,1307.72,0.00728308
0,5,29,1283.93,0.0117716
0,5,30,1257.21,0.0172601
0,5,31,1225.05,0.0228493
0,5,32,1186.58,0.0271774
0,5,33,1143.05,0.029191
0,5,34,1097.74,0.0286027
0,5,35,1054.81,0.0261706
0,5,36,1018.07,0.0233558
0,5,37,989.972,0.0217317
0,5,38,970.937,0.0220659
0,5,39,960.021,0.0243719
0,5,40,955.24,0.0279934
0,5,41,954.649,0.0322055
0,5,42,956.482,0.0366183
0,5,43,958.946,0.0411373
0,5,44,960.268,0.0454979
0,5,45,958.479,0.0490228
0,5,46,951.54,0.0503929
0,5,47,937.849,0.0484962
0,5,48,916.913,0.0430482
0,5,49,889.848,0.0348933
0,6,0,1853.28,0.18703
0,6,1,2004.61,0.207974
0,6,2,2103.67,0.214095
0,6,3,2152.32,0.206061
0,6,4,2160.11,0.187925
0,6,5,2140.33,0.165196
0,6,6,2106.66,0.142749
0,6,7,2070.13,0.123511
0,6,8,2037.4,0.108194
0,6,9,2010.85,0.0958386
0,6,10,1990.12,0.084765
0,6,11,1973.34,0.0734199
0,6,12,1959.04,0.0613821
0,6,13,1944.36,0.0488954
0,6,14,1926.06,0.037032
0,6,15,1900.3,0.0267677
0,6,16,1863.41,0.0186784
0,6,17,1813.95,0.0127926
0,6,18,1753.13,0.00874735
0,6,19,1684.85,0.00605679
0,6,20,1614.69,0.00428427
0,6,21,1548.2,0.00312849
0,6,22,1489.35,0.00240885
0,6,23,1439.85,0.0021022
0,6,24,1399.65,0.0020399
0,6,25,1367.51,0.00234591
0,6,26,1341.82,0.00330603
0,6,27,1320.71,0.00536469
0,6,28,1301.79,0.00895734
0,6,29,1282.16,0.0142268
0,6,30,1258.63,0.0207138
0,6,31,1228.76,0.0272846
0,6,32,1191.8,0.0323067
0,6,33,1149.15,0.0344306
0,6,34,1104.27,0.0331988
0,6,35,1061.55,0.0293612
0,6,36,1024.97,0.0245167
0,6,37,997.134,0.0204426
0,6,38,978.505,0.0181916
0,6,39,968.064,0.018054
0,6,40,963.618,0.0196344
0,6,41,962.968,0.0223678
0,6,42,964.114,0.0258557
0,6,43,965.202,0.0298525
0,6,44,964.645,0.0339244
0,6,45,960.968,0.0373835
0,6,46,952.675,0.0390342
0,6,47,938.514,0.037958
0,6,48,917.958,0.033938
0,6,49,891.722,0.0276674
0,7,0,1811.29,0.171561
0,7,1,1962.2,0.192563
0,7,2,2063.83,0.200715
0,7,3,2117,0.196334
0,7,4,2129.71,0.182608
0,7,5,2113.54,0.163935
0,7,6,2080.61,0.144169
0,7,7,2041.24,0.125648
0,7,8,2002.6,0.109132
0,7,9,1968.52,0.0943262
0,7,10,1940.31,0.0805976
0,7,11,1917.32,0.0674222
0,7,12,1898.48,0.0549713
0,7,13,1880.74,0.0435337
0,7,14,1860.35,0.0337164
0,7,15,1833.14,0.025798
0,7,16,1795.45,0.0197288
0,7,17,1746.13,0.0151826
0,7,18,1686.88,0.0117383
0,7,19,1621.9,0.00907573
0,7,20,1556.71,0.00701945
0,7,21,1496.41,0.00550724
0,7,22,1444.29,0.00446961
0,7,23,1401.45,0.00391919
0,7,24,1367.44,0.00365015
0,7,25,1340.89,0.00375931
0,7,26,1320.19,0.0045373
0,7,27,1303.54,0.00648406
0,7,28,1288.59,0.0100995
0,7,29,1272.47,0.0155628
0,7,30,1252.04,0.02239
0,7,31,1224.87,0.0293247
0,7,32,1190.26,0.0346016
0,7,33,1149.62,0.0367114
0,7,34,1106.5,0.0350917
0,7,35,1065.32,0.0304524
0,7,36,1030.19,0.0244266
0,7,37,1003.68,0.0188511
0,7,38,986.242,0.0149253
0,7,39,976.722,0.01309
0,7,40,972.717,0.013108
0,7,41,971.842,0.0145089
0,7,42,971.987,0.0168847
0,7,43,971.4,0.0199144
0,7,44,968.801,0.0231313
0,7,45,963.254,0.0259703
0,7,46,953.764,0.0274756
0,7,47,939.342,0.0269678
0,7,48,919.333,0.024288
0,7,49,894.007,0.0199329
0,8,0,1778.21,0.150722
0,8,1,1929.36,0.171194
0,8,2,2033.71,0.181125
0,8,3,2091.11,0.180483
0,8,4,2108.11,0.171586
0,8,5,2094.61,0.157719
0,8,6,2061.34,0.1417
