x,y,z,ECM_density,Fib_field
0,0,0,1987.04,0.106079
0,0,1,2129.82,0.122751
0,0,2,2224.38,0.132328
0,0,3,2272.66,0.134206
0,0,4,2285.34,0.129505
0,0,5,2276.96,0.120207
0,0,6,2261.13,0.108397
0,0,7,2246.64,0.0958553
0,0,8,2235.77,0.0840167
0,0,9,2226,0.074014
0,0,10,2213.51,0.0664981
0,0,11,2195.77,0.0613978
0,0,12,2173.14,0.0579643
0,0,13,2147.09,0.0549487
0,0,14,2119.48,0.0514132
0,0,15,2090.88,0.047026
0,0,16,2060.43,0.0423916
0,0,17,2026.76,0.0387123
0,0,18,1988.54,0.0372236
0,0,19,1945.05,0.0383946
0,0,20,1896.45,0.0417065
0,0,21,1843.49,0.0456611
0,0,22,1787.4,0.0484977
0,0,23,1729.26,0.0489632
0,0,24,1670.39,0.0468951
0,0,25,1612.33,0.0432113
0,0,26,1557.32,0.039425
0,0,27,1507.58,0.0367166
0,0,28,1464.41,0.0353312
0,0,29,1427.48,0.0345349
0,0,30,1394.66,0.0331221
0,0,31,1363.13,0.0301734
0,0,32,1330.77,0.025527
0,0,33,1297.04,0.0198255
0,0,34,1262.99,0.0140498
0,0,35,1230.84,0.00905164
0,0,36,1202.67,0.00532078
0,0,37,1179.98,0.0028464
0,0,38,1162.97,0.00138976
0,0,39,1151.18,0.000626059
0,0,40,1143.73,0.000264484
0,0,41,1139.76,0.000125309
0,0,42,1138.3,0.000117844
0,0,43,1138.06,0.000179221
0,0,44,1137.5,0.000275991
0,0,45,1134.75,0.000390042
0,0,46,1128.22,0.000497806
0,0,47,1117.05,0.000572563
0,0,48,1101.55,0.00059363
0,0,49,1083.17,0.000554914
0,1,0,2090.13,0.110065
0,1,1,2243.62,0.128404
0,1,2,2344.98,0.139723
0,1,3,2397.02,0.143193
0,1,4,2411.31,0.139758
0,1,5,2403.2,0.13134
0,1,6,2387.18,0.12014
0,1,7,2372.82,0.108205
0,1,8,2362.92,0.0972805
0,1,9,2355,0.0887151
0,1,10,2344.84,0.0831509
0,1,11,2329.28,0.0802553
0,1,12,2308.06,0.0788182
0,1,13,2282.11,0.0770961
0,1,14,2252.95,0.0737698
0,1,15,2221.08,0.0683967
0,1,16,2185.83,0.0617406
0,1,17,2146.27,0.055398
0,1,18,2101.64,0.0510818
0,1,19,2051.86,0.0496467
0,1,20,1997.61,0.0507755
0,1,21,1939.97,0.0529924
0,1,22,1880.26,0.0545068
0,1,23,1819.35,0.0541167
0,1,24,1758.23,0.0518366
0,1,25,1698.06,0.0488045
0,1,26,1640.79,0.046655
0,1,27,1588.54,0.0464034
0,1,28,1542.56,0.0477979
0,1,29,1502.54,0.0493812
0,1,30,1466.25,0.0492384
0,1,31,1430.77,0.0460496
0,1,32,1393.9,0.0397051
0,1,33,1355.11,0.0313146
0,1,34,1315.66,0.0225074
0,1,35,1278.02,0.0147159
0,1,36,1244.6,0.0087755
0,1,37,1217.16,0.00476943
0,1,38,1196.06,0.00236918
0,1,39,1180.91,0.00108612
0,1,40,1170.81,0.00046743
0,1,41,1164.91,0.000219159
0,1,42,1162.16,0.000190194
0,1,43,1161.12,0.000276093
0,1,44,1160.02,0.000418186
0,1,45,1156.69,0.00058527
0,1,46,1149.22,0.00074031
0,1,47,1136.51,0.000843529
0,1,48,1118.77,0.00086609
0,1,49,1097.58,0.000801543
0,2,0,2138.22,0.105316
0,2,1,2297.03,0.123952
0,2,2,2402.37,0.136235
0,2,3,2457.39,0.141172
0,2,4,2473.87,0.139467
0,2,5,2467.36,0.132852
0,2,6,2452.66,0.12351
0,2,7,2439.81,0.113622
0,2,8,2431.98,0.105102
0,2,9,2426.82,0.0993974
0,2,10,2419.87,0.097058
0,2,11,2407.52,0.0974756
0,2,12,2388.88,0.0990209
0,2,13,2364.33,0.0995107
0,2,14,2334.94,0.0972259
0,2,15,2301.09,0.0915137
0,2,16,2262.27,0.0831253
0,2,17,2218.03,0.0739031
0,2,18,2168.35,0.0659898
0,2,19,2113.97,0.060741
