x,y,z,ECM_density,Fib_field
0,0,0,2367.87,0.089721
0,0,1,2489.8,0.108475
0,0,2,2579.3,0.12432
0,0,3,2633.26,0.137296
0,0,4,2655.87,0.148751
0,0,5,2656.41,0.160148
0,0,6,2646.4,0.172126
0,0,7,2636.41,0.184068
0,0,8,2633.23,0.195064
0,0,9,2638.57,0.204355
0,0,10,2650.48,0.211848
0,0,11,2665.44,0.217679
0,0,12,2680.87,0.221783
0,0,13,2694.98,0.223203
0,0,14,2706.51,0.220347
0,0,15,2713.76,0.21146
0,0,16,2714.39,0.195507
0,0,17,2706.73,0.17311
0,0,18,2690.48,0.146571
0,0,19,2667.07,0.119346
0,0,20,2638.77,0.0948036
0,0,21,2607.21,0.075383
0,0,22,2572.19,0.0619624
0,0,23,2531.77,0.0540644
0,0,24,2483.48,0.0504073
0,0,25,2426.4,0.0493804
0,0,26,2362.34,0.0498525
0,0,27,2295.61,0.0512411
0,0,28,2231.26,0.0533066
0,0,29,2173.06,0.0556033
0,0,30,2122.12,0.0573966
0,0,31,2077.25,0.0582528
0,0,32,2036.53,0.0586038
0,0,33,1998.49,0.0595384
0,0,34,1962.72,0.0631316
0,0,35,1929.78,0.0710581
0,0,36,1900.41,0.0835341
0,0,37,1875.51,0.0987226
0,0,38,1855.31,0.113081
0,0,39,1839.95,0.122704
0,0,40,1829.25,0.124692
0,0,41,1822.72,0.118069
0,0,42,1819.16,0.10384
0,0,43,1816.67,0.0846219
0,0,44,1813,0.0636668
0,0,45,1806.28,0.0440369
0,0,46,1795.46,0.0278707
0,0,47,1780.59,0.0160729
0,0,48,1762.78,0.00841115
0,0,49,1743.75,0.00397248
0,1,0,2455.51,0.10666
0,1,1,2589.47,0.130115
0,1,2,2688.09,0.150828
0,1,3,2748.97,0.1687
0,1,4,2777.1,0.184992
0,1,5,2782.29,0.201052
0,1,6,2776.28,0.217287
0,1,7,2769.66,0.232815
0,1,8,2769.11,0.246641
0,1,9,2776.17,0.258099
0,1,10,2788.74,0.26739
0,1,11,2803.18,0.274942
0,1,12,2816.84,0.28078
0,1,13,2827.87,0.283656
0,1,14,2834.97,0.281357
0,1,15,2836.57,0.271426
0,1,16,2830.61,0.252312
0,1,17,2815.97,0.224665
0,1,18,2792.97,0.191418
0,1,19,2763.77,0.157087
0,1,20,2731.2,0.126206
0,1,21,2697.2,0.102095
0,1,22,2661.45,0.0859833
0,1,23,2621.57,0.0771761
0,1,24,2574.38,0.0738288
0,1,25,2518.25,0.0736785
0,1,26,2454.4,0.0751766
0,1,27,2386.82,0.0776606
0,1,28,2320.5,0.0809555
0,1,29,2259.33,0.0845489
0,1,30,2204.56,0.0874197
0,1,31,2155.08,0.0887459
0,1,32,2109.07,0.0887196
0,1,33,2065.21,0.0885942
0,1,34,2023.37,0.0909581
0,1,35,1984.35,0.0980067
0,1,36,1949.09,0.110086
0,1,37,1918.6,0.124921
0,1,38,1893.04,0.138158
0,1,39,1872.62,0.145244
0,1,40,1857.29,0.143211
0,1,41,1846.87,0.131671
0,1,42,1840.44,0.112555
0,1,43,1836.2,0.0893306
0,1,44,1831.75,0.0656504
0,1,45,1824.83,0.0445257
0,1,46,1813.85,0.0277444
0,1,47,1798.39,0.0158202
0,1,48,1779.23,0.00822213
0,1,49,1758.04,0.00387392
0,2,0,2505.47,0.120496
0,2,1,2645.75,0.147883
0,2,2,2749.8,0.172911
0,2,3,2815.93,0.195378
0,2,4,2849.58,0.216377
0,2,5,2860.57,0.23698
0,2,6,2860.15,0.257205
0,2,7,2858.21,0.275817
0,2,8,2860.79,0.291707
0,2,9,2869.16,0.304374
0,2,10,2881.31,0.314463
0,2,11,2893.93,0.32292
0,2,12,2904.77,0.330114
0,2,13,2912.16,0.334686
0,2,14,2914.9,0.333853
0,2,15,2911.49,0.32434
0,2,16,2900.09,0.303845
0,2,17,2879.93,0.27274
0,2,18,2851.85,0.234344
0,2,19,2818.59,0.194093
0,2,20,2783.49,0.157705
0,2,21,2748.78,0.1295
0,2,22,2714.12,0.111178
0,2,23,2676.81,0.101917
0,2,24,2633.15,0.0993101
0,2,25,2580.8,0.10043
0,2,26,2520.28,0.103302
0,2,27,2455,0.107221
0,2,28,2389.59,0.112121
0,2,29,2327.86,0.117449
0,2,30,2271.19,0.121851
0,2,31,2218.71,0.123967
0,2,32,2168.9,0.123541
0,2,33,2120.65,0.121841
0,2,34,2074.14,0.121884
0,2,35,2030.39,0.126419
0,2,36,1990.46,0.136067
0,2,37,1955.34,0.148343
0,2,38,1925.12,0.158357
0,2,39,1899.95,0.161197
0,2,40,1879.92,0.154059
0,2,41,1865.2,0.137277
0,2,42,1855.32,0.113711
0,2,43,1848.8,0.0875286
0,2,44,1843.36,0.0625242
0,2,45,1836.49,0.0413754
0,2,46,1826.11,0.025275
0,2,47,1811.19,0.0142128
0,2,48,1791.99,0.00733861
0,2,49,1769.9,0.00346826
0,3,0,2519.56,0.130538
0,3,1,2661.29,0.160494
0,3,2,2767.7,0.188503
0,3,3,2837.62,0.214355
0,3,4,2876.61,0.238967
0,3,5,2893.96,0.263061
0,3,6,2899.89,0.286163
0,3,7,2903,0.306621
0,3,8,2908.35,0.323169
0,3,9,2916.97,0.335508
0,3,10,2927.27,0.34487
0,3,11,2936.78,0.35297
