x,y,z,ECM_density,Fib_field
0,0,0,2516.42,0.276234
0,0,1,2629.73,0.324566
0,0,2,2716.11,0.352047
0,0,3,2771,0.355536
0,0,4,2796.63,0.33862
0,0,5,2800.21,0.309688
0,0,6,2791.43,0.278497
0,0,7,2780.07,0.252521
0,0,8,2773.44,0.235172
0,0,9,2775.55,0.225699
0,0,10,2787.76,0.220511
0,0,11,2809.81,0.215171
0,0,12,2840.72,0.20623
0,0,13,2878.29,0.192317
0,0,14,2918.7,0.173932
0,0,15,2956.43,0.153231
0,0,16,2985.09,0.133162
0,0,17,2999.79,0.116871
0,0,18,2998.18,0.106963
0,0,19,2981.13,0.104413
0,0,20,2951.78,0.108005
0,0,21,2913.58,0.114325
0,0,22,2868.79,0.118882
0,0,23,2817.47,0.117993
0,0,24,2758.33,0.110626
0,0,25,2690.62,0.0984753
0,0,26,2615.59,0.0854736
0,0,27,2537.01,0.0757432
0,0,28,2459.79,0.0720616
0,0,29,2388.39,0.074677
0,0,30,2325.09,0.0814571
0,0,31,2269.89,0.0887859
0,0,32,2221.63,0.0928511
0,0,33,2178.97,0.0910959
0,0,34,2140.91,0.0829357
0,0,35,2107.09,0.0699762
0,0,36,2077.4,0.0551604
0,0,37,2052.15,0.0420306
0,0,38,2031.26,0.033584
0,0,39,2014.83,0.031694
0,0,40,2002.81,0.0367803
0,0,41,1995.01,0.0477107
0,0,42,1990.87,0.0618761
0,0,43,1989.21,0.0757701
0,0,44,1988.58,0.0856272
0,0,45,1987.47,0.0886861
0,0,46,1984.57,0.08414
0,0,47,1979.28,0.0730715
0,0,48,1971.72,0.0581295
0,0,49,1962.71,0.042376
0,1,0,2593.09,0.306785
0,1,1,2718.87,0.362807
0,1,2,2814.82,0.396676
0,1,3,2876.56,0.404475
0,1,4,2906.81,0.389627
0,1,5,2913.35,0.36106
0,1,6,2906.4,0.329567
0,1,7,2896.16,0.303605
0,1,8,2890.26,0.28709
0,1,9,2892.82,0.279115
0,1,10,2905.1,0.275393
0,1,11,2926.68,0.270656
0,1,12,2956.39,0.260877
0,1,13,2991.9,0.244523
0,1,14,3029.32,0.222305
0,1,15,3063.2,0.196778
0,1,16,3087.41,0.171364
0,1,17,3097.4,0.149695
0,1,18,3091.21,0.13488
0,1,19,3070.13,0.128369
0,1,20,3037.56,0.129243
0,1,21,2997.06,0.134072
0,1,22,2950.76,0.138055
0,1,23,2898.43,0.137042
0,1,24,2838.4,0.129608
0,1,25,2769.58,0.117151
0,1,26,2693.05,0.103572
0,1,27,2612.51,0.0931158
0,1,28,2532.83,0.0888442
0,1,29,2458.51,0.0912713
0,1,30,2391.75,0.0984239
0,1,31,2332.5,0.106636
0,1,32,2279.62,0.111752
0,1,33,2231.85,0.110657
0,1,34,2188.42,0.102222
0,1,35,2149.19,0.0877627
0,1,36,2114.24,0.070377
0,1,37,2084,0.0541319
0,1,38,2058.41,0.0426831
0,1,39,2037.6,0.0384833
0,1,40,2021.63,0.0422769
0,1,41,2010.47,0.0529763
0,1,42,2003.76,0.0677667
0,1,43,2000.38,0.082755
0,1,44,1998.84,0.0936898
0,1,45,1997.34,0.0973618
0,1,46,1994.26,0.0927345
0,1,47,1988.63,0.0808313
0,1,48,1980.34,0.0645074
0,1,49,1970.17,0.0471469
0,2,0,2634.77,0.317011
0,2,1,2767.04,0.37838
0,2,2,2868.41,0.418191
0,2,3,2934.79,0.43168
0,2,4,2969.21,0.421505
0,2,5,2979.56,0.396327
0,2,6,2975.97,0.367295
0,2,7,2968.46,0.343467
0,2,8,2964.38,0.329203
0,2,9,2967.66,0.323587
0,2,10,2979.46,0.321877
0,2,11,2999.32,0.31823
0,2,12,3026.16,0.308246
0,2,13,3057.79,0.290328
0,2,14,3090.52,0.265387
0,2,15,3119.3,0.236243
0,2,16,3138.4,0.206592
0,2,17,3143.73,0.180327
0,2,18,3133.67,0.160902
0,2,19,3109.78,0.150216
0,2,20,3075.61,0.147787
0,2,21,3034.64,0.150439
0,2,22,2988.83,0.153397
0,2,23,2937.71,0.152315
0,2,24,2879.41,0.145453
0,2,25,2812.68,0.133768
0,2,26,2738.43,0.120777
0,2,27,2660.11,0.110455
0,2,28,2582.31,0.105871
0,2,29,2509.2,0.107769
0,2,30,2442.7,0.114551
0,2,31,2382.65,0.122875
0,2,32,2327.9,0.128609
0,2,33,2277.32,0.128272
0,2,34,2230.39,0.120152
0,2,35,2187.29,0.10503
0,2,36,2148.31,0.0858449
0,2,37,2114.02,0.0669096
0,2,38,2084.43,0.0523768
0,2,39,2059.69,0.0452469
0,2,40,2039.91,0.0466583
0,2,41,2025.25,0.0557201
0,2,42,2015.61,0.0696339
0,2,43,2010.06,0.0843725
0,2,44,2007.17,0.0954547
0,2,45,2005.03,0.0993967
0,2,46,2001.73,0.0949752
0,2,47,1995.96,0.0830477
0,2,48,1987.32,0.0664639
0,2,49,1976.43,0.0486905
0,3,0,2642.57,0.309068
0,3,1,2775.85,0.373525
0,3,2,2878.83,0.418578
0,3,3,2947.75,0.438542
0,3,4,2985.72,0.434791
0,3,5,3000.32,0.415015
0,3,6,3001.12,0.390104
0,3,7,2997.36,0.369401
0,3,8,2995.73,0.357698
0,3,9,2999.77,0.354282
0,3,10,3010.57,0.3543
0,3,11,3027.86,0.351671
0,3,12,3050.93,0.341874
0,3,13,3077.95,0.323337
0,3,14,3105.65,0.297116
0,3,15,3129.44,0.26613
0,3,16,3144.14,0.234132
0,3,17,3146.01,0.205029
0,3,18,3133.73,0.182398
0,3,19,3108.99,0.168448
0,3,20,3075.21,0.163089
0,3,21,3035.66,0.163523
0,3,22,2992.06,0.16526
0,3,23,2943.83,0.16406
0,3,24,2889.1,0.158077
0,3,25,2826.63,0.147868
0,3,26,2757.27,0.136375
0,3,27,2684.1,0.126982
0,3,28,2611.2,0.122465
0,3,29,2542.21,0.123651
0,3,30,2478.67,0.129418
0,3,31,2420.25,0.137043
0,3,32,2365.81,0.142795
0,3,33,2314.35,0.143107
0,3,34,2265.62,0.135765
0,3,35,2220.09,0.120858
0,3,36,2178.35,0.100868
0,3,37,2141.13,0.0800221
0,3,38,2108.56,0.0627427
0,3,39,2080.74,0.052498
0,3,40,2057.78,0.050876
0,3,41,2039.98,0.0573306
0,3,42,2027.44,0.0692766
0,3,43,2019.48,0.0827553
0,3,44,2014.87,0.0932517
0,3,45,2011.71,0.0971424
0,3,46,2007.96,0.0930539
0,3,47,2002.02,0.0816179
0,3,48,1993.18,0.0655288
0,3,49,1981.84,0.0481587
0,4,0,2624.22,0.289211
0,4,1,2754.12,0.354939
0,4,2,2855.52,0.404281
0,4,3,2925.02,0.430629
0,4,4,2965.6,0.433784
0,4,5,2984.3,0.420019
0,4,6,2989.74,0.399522
0,4,7,2990.01,0.381655
0,4,8,2990.86,0.371635
0,4,9,2995.35,0.369183
0,4,10,3004.63,0.36972
0,4,11,3018.88,0.367325
0,4,12,3037.97,0.357642
0,4,13,3060.59,0.33921
0,4,14,3083.99,0.313159
0,4,15,3104.05,0.282338
0,4,16,3116.05,0.250367
0,4,17,3116.61,0.220943
0,4,18,3104.54,0.197521
0,4,19,3081.42,0.182334
0,4,20,3050.31,0.175446
0,4,21,3014.07,0.17434
0,4,22,2974.14,0.174922
0,4,23,2929.94,0.173341
0,4,24,2879.85,0.167965
0,4,25,2822.84,0.1592
0,4,26,2759.73,0.149446
0,4,27,2693.21,0.141358
0,4,28,2626.75,0.137161
0,4,29,2563.34,0.137572
0,4,30,2504.1,0.1419
0,4,31,2448.57,0.148189
0,4,32,2395.64,0.1534
0,4,33,2344.45,0.154185
0,4,34,2295.01,0.148002
0,4,35,2248.13,0.134209
0,4,36,2204.7,0.114586
0,4,37,2165.66,0.0929507
0,4,38,2131.24,0.0737473
0,4,39,2101.48,0.0608097
0,4,40,2076.37,0.0562243
0,4,41,2056.19,0.0599179
0,4,42,2041.15,0.0696503
0,4,43,2030.81,0.0816209
0,4,44,2024.2,0.0913368
0,4,45,2019.61,0.0950631
0,4,46,2014.98,0.0912687
0,4,47,2008.56,0.0803565
0,4,48,1999.35,0.0648284
0,4,49,1987.51,0.0479219
0,5,0,2590.8,0.264963
0,5,1,2714.53,0.330575
0,5,2,2812.07,0.38291
0,5,3,2880.42,0.414602
0,5,4,2922.43,0.423925
0,5,5,2944.45,0.415604
0,5,6,2953.95,0.398825
0,5,7,2957.73,0.3827
0,5,8,2960.5,0.372768
0,5,9,2964.92,0.369339
0,5,10,2972.34,0.368497
0,5,11,2983.56,0.36492
0,5,12,2999.19,0.354743
0,5,13,3018.5,0.336742
0,5,14,3039.19,0.312057
0,5,15,3057.54,0.283332
0,5,16,3069.21,0.253905
0,5,17,3071.05,0.227086
0,5,18,3061.83,0.205935
0,5,19,3042.81,0.192333
0,5,20,3016.46,0.186076
0,5,21,2985.07,0.184636
0,5,22,2949.79,0.184263
0,5,23,2910.19,0.181714
0,5,24,2865.09,0.175938
0,5,25,2813.83,0.16761
0,5,26,2757.23,0.158855
0,5,27,2697.63,0.151684
0,5,28,2637.81,0.147649
0,5,29,2580.13,0.147168
0,5,30,2525.3,0.149834
0,5,31,2472.75,0.154429
0,5,32,2421.45,0.15875
0,5,33,2370.74,0.159907
0,5,34,2320.96,0.155244
0,5,35,2273.28,0.14345
0,5,36,2228.93,0.125464
0,5,37,2189.04,0.104424
0,5,38,2153.92,0.0845702
