x,y,z,ECM_density,Fib_field
0,0,0,2119.71,0.118524
0,0,1,2257.19,0.144368
0,0,2,2353.57,0.165968
0,0,3,2408.4,0.18331
0,0,4,2430.08,0.197749
0,0,5,2431.91,0.210165
0,0,6,2427.94,0.219287
0,0,7,2428.59,0.221737
0,0,8,2437.94,0.213897
0,0,9,2453.63,0.194425
0,0,10,2469.74,0.165551
0,0,11,2480.07,0.132359
0,0,12,2480.82,0.100706
0,0,13,2470.37,0.0752257
0,0,14,2448.94,0.0582326
0,0,15,2417.14,0.0497362
0,0,16,2375.61,0.0480888
0,0,17,2325.77,0.0507523
0,0,18,2270.3,0.0547239
0,0,19,2212.96,0.0573441
0,0,20,2157.71,0.0567207
0,0,21,2106.7,0.052177
0,0,22,2059.39,0.0444272
0,0,23,2012.63,0.0350693
0,0,24,1962.7,0.0258314
0,0,25,1907.36,0.0179431
0,0,26,1847.54,0.0118931
0,0,27,1786.96,0.00760812
0,0,28,1730.38,0.00471675
0,0,29,1681.44,0.00283089
0,0,30,1641.23,0.00162724
0,0,31,1608.33,0.000886677
0,0,32,1580.26,0.000455414
0,0,33,1554.71,0.000234581
0,0,34,1530.37,0.000113479
0,0,35,1507.24,5.05625e-05
0,0,36,1486,1.85837e-05
0,0,37,1467.73,6.76088e-06
0,0,38,1452.94,2.76668e-06
0,0,39,1441.86,1.01623e-06
0,0,40,1434.36,1.76824e-07
0,0,41,1430.12,0
0,0,42,1428.44,0
0,0,43,1428.07,0
0,0,44,1427.14,0
0,0,45,1423.5,0
0,0,46,1415.19,0
0,0,47,1401.18,0
0,0,48,1381.83,0
0,0,49,1358.96,0
0,1,0,2224.46,0.136647
0,1,1,2374.02,0.167787
0,1,2,2478.14,0.19386
0,1,3,2537.27,0.214272
0,1,4,2561.02,0.230238
0,1,5,2563.9,0.242917
0,1,6,2561.08,0.251468
0,1,7,2563.65,0.252857
0,1,8,2575.76,0.24358
0,1,9,2594.47,0.222289
0,1,10,2613.04,0.191241
0,1,11,2624.52,0.155691
0,1,12,2624.65,0.121788
0,1,13,2611.56,0.0944702
0,1,14,2585.45,0.0762431
0,1,15,2547.06,0.0671031
0,1,16,2497.45,0.0651585
0,1,17,2438.77,0.0675035
