x,y,z,ECM_density,Fib_field
0,0,0,2517.83,0.296647
0,0,1,2629.61,0.336488
0,0,2,2715.69,0.353376
0,0,3,2771.43,0.346959
0,0,4,2798.71,0.322757
0,0,5,2804.29,0.289355
0,0,6,2797.45,0.254882
0,0,7,2787.63,0.224473
0,0,8,2782.07,0.199853
0,0,9,2784.84,0.180678
0,0,10,2797.6,0.166041
0,0,11,2820.35,0.155483
0,0,12,2852.31,0.148925
0,0,13,2891.35,0.145821
0,0,14,2933.51,0.144789
0,0,15,2973.04,0.144038
0,0,16,3003.3,0.1421
0,0,17,3019.16,0.138735
0,0,18,3018.13,0.134727
0,0,19,3001.03,0.131207
0,0,20,2971.1,0.128684
0,0,21,2932.05,0.126599
0,0,22,2886.42,0.123564
0,0,23,2834.52,0.118441
0,0,24,2775.14,0.110968
0,0,25,2707.45,0.101776
0,0,26,2632.47,0.0924628
0,0,27,2553.72,0.0849467
0,0,28,2475.92,0.0809405
0,0,29,2403.53,0.0811657
0,0,30,2338.98,0.0847732
0,0,31,2282.56,0.0895333
0,0,32,2233.4,0.0924183
0,0,33,2190.39,0.0910678
0,0,34,2152.59,0.0844306
0,0,35,2119.51,0.0734081
0,0,36,2090.81,0.0603896
0,0,37,2066.46,0.0484881
0,0,38,2046.11,0.0404859
0,0,39,2029.69,0.0382723
0,0,40,2017.1,0.0424374
0,0,41,2008.24,0.052119
0,0,42,2002.77,0.0649794
0,0,43,1999.83,0.0777188
0,0,44,1998.31,0.086695
0,0,45,1996.91,0.0891718
0,0,46,1994.4,0.0843008
0,0,47,1990.05,0.073093
0,0,48,1983.77,0.058117
0,0,49,1976.1,0.0423721
0,1,0,2593.58,0.334932
0,1,1,2717.76,0.382459
0,1,2,2813.36,0.40542
0,1,3,2875.89,0.402953
0,1,4,2907.74,0.380531
0,1,5,2916.24,0.347154
0,1,6,2911.15,0.311631
0,1,7,2902.38,0.279736
0,1,8,2897.44,0.253566
0,1,9,2900.55,0.232899
0,1,10,2913.29,0.216817
0,1,11,2935.54,0.204901
0,1,12,2966.36,0.19726
0,1,13,3003.46,0.193372
0,1,14,3042.81,0.191601
0,1,15,3078.71,0.189606
