x,y,z,ECM_density,Fib_field
0,0,0,2073.21,0.243657
0,0,1,2245.64,0.271564
0,0,2,2331.11,0.285279
0,0,3,2339.62,0.287755
0,0,4,2289.47,0.284074
0,0,5,2202.89,0.278436
0,0,6,2100.52,0.272073
0,0,7,1996.21,0.263411
0,0,8,1894.94,0.249774
0,0,9,1795.54,0.22951
0,0,10,1696.43,0.203216
0,0,11,1599.17,0.173727
0,0,12,1510.97,0.14547
0,0,13,1439.06,0.122085
0,0,14,1388.34,0.105512
0,0,15,1358.6,0.095331
0,0,16,1344.74,0.0892703
0,0,17,1340.25,0.0843508
0,0,18,1338.95,0.0781554
0,0,19,1336.9,0.0698505
0,0,20,1331.51,0.0600185
0,0,21,1321.48,0.0502363
0,0,22,1306.14,0.0423606
0,0,23,1286.08,0.0378882
0,0,24,1263.17,0.0380977
0,0,25,1240.37,0.0442802
0,0,26,1220.62,0.0581678
0,0,27,1205.82,0.08163
0,0,28,1195.79,0.116109
0,0,29,1188.77,0.161239
0,0,30,1182.25,0.213811
0,0,31,1173.54,0.267568
0,0,32,1160.55,0.314324
0,0,33,1142.12,0.346292
0,0,34,1117.99,0.358521
0,0,35,1088.7,0.350262
0,0,36,1055.13,0.325025
0,0,37,1018.81,0.289384
0,0,38,981.582,0.251099
0,0,39,947.049,0.217476
0,0,40,918.939,0.193515
0,0,41,903.067,0.181591
0,0,42,904.85,0.181104
0,0,43,926.815,0.189215
0,0,44,966.038,0.201541
0,0,45,1012.66,0.212801
0,0,46,1051.21,0.217927
0,0,47,1064.92,0.212893
0,0,48,1040.89,0.196037
0,0,49,974.758,0.168477
0,1,0,2236.5,0.279362
0,1,1,2419.33,0.313369
0,1,2,2511.99,0.33212
0,1,3,2526.11,0.338667
0,1,4,2480.3,0.338191
0,1,5,2396.1,0.334731
0,1,6,2293.25,0.329079
0,1,7,2185.16,0.319136
0,1,8,2077.14,0.301924
0,1,9,1968.96,0.275915
0,1,10,1860.33,0.242277
0,1,11,1754.11,0.204691
0,1,12,1658.68,0.168547
0,1,13,1582.16,0.138255
0,1,14,1529.59,0.116219
0,1,15,1500.49,0.102205
0,1,16,1488.97,0.0939013
0,1,17,1487.57,0.0881554
0,1,18,1489.24,0.0823171
0,1,19,1489.36,0.0752737
0,1,20,1484.88,0.0672423
0,1,21,1474.35,0.0593272
0,1,22,1457.29,0.0529274
0,1,23,1434.84,0.0491762
0,1,24,1409.7,0.0493237
0,1,25,1385.53,0.0549871
0,1,26,1365.52,0.0686007
0,1,27,1351.14,0.0928336
0,1,28,1341.29,0.129771
0,1,29,1333.26,0.179231
0,1,30,1324.04,0.237602
0,1,31,1311.06,0.297736
0,1,32,1292.9,0.350372
0,1,33,1269.25,0.386848
0,1,34,1240.42,0.401811
0,1,35,1207.13,0.394593
0,1,36,1169.9,0.36906
0,1,37,1129.85,0.332234
0,1,38,1088.48,0.29228
0,1,39,1049.59,0.256865
0,1,40,1017.45,0.231371
0,1,41,998.434,0.218489
0,1,42,998.219,0.217726
0,1,43,1018.96,0.226042
0,1,44,1056.83,0.238558
0,1,45,1100.89,0.249301
0,1,46,1134.76,0.252636
0,1,47,1141.26,0.24424
0,1,48,1107.59,0.222631
0,1,49,1029.99,0.189482
0,2,0,2316.56,0.295587
0,2,1,2506.77,0.333767
0,2,2,2606.32,0.356923
0,2,3,2627.55,0.3679
0,2,4,2588.77,0.371445
0,2,5,2510.36,0.370974
0,2,6,2410.65,0.366664
0,2,7,2302.24,0.356032
0,2,8,2190.75,0.336088
0,2,9,2077.28,0.305683
0,2,10,1963.22,0.266604
0,2,11,1852.85,0.22322
0,2,12,1755.34,0.181541
0,2,13,1679.04,0.146436
0,2,14,1628.51,0.120559
0,2,15,1602.63,0.103846
0,2,16,1594.81,0.0941142
0,2,17,1597.02,0.0883164
0,2,18,1601.83,0.0838417
0,2,19,1604.26,0.0794261
0,2,20,1601.05,0.074861
0,2,21,1590.63,0.070517
0,2,22,1572.67,0.066968
0,2,23,1548.78,0.0646227
