agent_type,agent_id,x,y,z,cell_state,additional_info
CANCER,1,19,26,24,PROGENITOR,divideCD=3;divideFlag=1
CANCER,2,20,21,24,PROGENITOR,divideCD=3;divideFlag=1
CANCER,3,20,22,22,PROGENITOR,divideCD=3;divideFlag=1
CANCER,4,21,22,24,PROGENITOR,divideCD=3;divideFlag=1
CANCER,5,22,23,25,PROGENITOR,divideCD=3;divideFlag=1
CANCER,6,21,23,25,PROGENITOR,divideCD=3;divideFlag=1
CANCER,7,21,23,28,PROGENITOR,divideCD=3;divideFlag=1
CANCER,8,20,25,24,PROGENITOR,divideCD=3;divideFlag=1
CANCER,9,21,24,23,PROGENITOR,divideCD=3;divideFlag=1
CANCER,10,19,25,25,PROGENITOR,divideCD=3;divideFlag=1
CANCER,11,20,24,26,PROGENITOR,divideCD=3;divideFlag=1
CANCER,12,19,24,28,PROGENITOR,divideCD=3;divideFlag=1
CANCER,13,21,24,22,PROGENITOR,divideCD=3;divideFlag=1
CANCER,14,20,26,24,PROGENITOR,divideCD=3;divideFlag=1
CANCER,15,20,27,24,PROGENITOR,divideCD=3;divideFlag=1
CANCER,16,21,25,24,PROGENITOR,divideCD=3;divideFlag=1
CANCER,17,20,25,28,PROGENITOR,divideCD=3;divideFlag=1
CANCER,18,20,24,28,PROGENITOR,divideCD=3;divideFlag=1
CANCER,19,20,26,27,PROGENITOR,divideCD=3;divideFlag=1
CANCER,20,20,25,22,PROGENITOR,divideCD=3;divideFlag=1
CANCER,21,21,25,25,PROGENITOR,divideCD=3;divideFlag=1
CANCER,22,20,26,25,PROGENITOR,divideCD=3;divideFlag=1
CANCER,23,18,26,26,PROGENITOR,divideCD=3;divideFlag=1
CANCER,24,21,27,26,PROGENITOR,divideCD=3;divideFlag=1
CANCER,25,21,28,23,PROGENITOR,divideCD=3;divideFlag=1
CANCER,26,21,27,25,PROGENITOR,divideCD=3;divideFlag=1
CANCER,27,18,27,25,PROGENITOR,divideCD=3;divideFlag=1
CANCER,28,20,25,26,PROGENITOR,divideCD=3;divideFlag=1
CANCER,29,21,27,28,PROGENITOR,divideCD=3;divideFlag=1
CANCER,30,22,29,26,PROGENITOR,divideCD=3;divideFlag=1
CANCER,31,22,21,25,PROGENITOR,divideCD=3;divideFlag=1
CANCER,32,21,22,21,PROGENITOR,divideCD=3;divideFlag=1
