agent_type,agent_id,x,y,z,cell_state,additional_info
CANCER,78,19,28,27,PROGENITOR,divideCD=2;divideFlag=1
CANCER,79,21,30,24,PROGENITOR,divideCD=2;divideFlag=1
CANCER,80,23,19,21,PROGENITOR,divideCD=2;divideFlag=1
CANCER,81,22,21,23,PROGENITOR,divideCD=2;divideFlag=1
CANCER,82,23,20,26,PROGENITOR,divideCD=2;divideFlag=1
CANCER,83,22,20,26,PROGENITOR,divideCD=2;divideFlag=1
CANCER,84,22,19,28,PROGENITOR,divideCD=2;divideFlag=1
CANCER,85,23,22,23,PROGENITOR,divideCD=2;divideFlag=1
CANCER,86,24,20,22,PROGENITOR,divideCD=2;divideFlag=1
CANCER,87,23,22,24,PROGENITOR,divideCD=2;divideFlag=1
CANCER,88,23,21,26,PROGENITOR,divideCD=2;divideFlag=1
CANCER,89,23,22,26,PROGENITOR,divideCD=2;divideFlag=1
CANCER,90,23,21,29,PROGENITOR,divideCD=2;divideFlag=1
CANCER,91,22,21,27,PROGENITOR,divideCD=2;divideFlag=1
CANCER,92,22,24,19,PROGENITOR,divideCD=2;divideFlag=1
CANCER,93,23,25,22,PROGENITOR,divideCD=2;divideFlag=1
CANCER,94,22,23,23,PROGENITOR,divideCD=2;divideFlag=1
CANCER,95,21,23,24,PROGENITOR,divideCD=2;divideFlag=1
CANCER,96,23,23,25,PROGENITOR,divideCD=2;divideFlag=1
CANCER,97,23,23,27,PROGENITOR,divideCD=2;divideFlag=1
CANCER,98,22,23,27,PROGENITOR,divideCD=2;divideFlag=1
CANCER,99,23,22,27,PROGENITOR,divideCD=2;divideFlag=1
CANCER,100,23,22,29,PROGENITOR,divideCD=2;divideFlag=1
CANCER,101,23,24,22,PROGENITOR,divideCD=2;divideFlag=1
CANCER,102,24,25,22,PROGENITOR,divideCD=2;divideFlag=1
CANCER,103,23,25,23,PROGENITOR,divideCD=2;divideFlag=1
CANCER,104,23,23,24,PROGENITOR,divideCD=2;divideFlag=1
CANCER,105,23,24,25,PROGENITOR,divideCD=2;divideFlag=1
CANCER,106,23,24,26,PROGENITOR,divideCD=2;divideFlag=1
CANCER,107,22,24,27,PROGENITOR,divideCD=2;divideFlag=1
CANCER,108,23,24,29,PROGENITOR,divideCD=2;divideFlag=1
CANCER,109,23,24,30,PROGENITOR,divideCD=2;divideFlag=1
CANCER,110,22,26,20,PROGENITOR,divideCD=2;divideFlag=1
CANCER,111,22,26,22,PROGENITOR,divideCD=2;divideFlag=1
CANCER,112,22,25,22,PROGENITOR,divideCD=2;divideFlag=1
CANCER,113,23,25,24,PROGENITOR,divideCD=2;divideFlag=1
CANCER,114,23,25,25,PROGENITOR,divideCD=2;divideFlag=1
CANCER,115,23,25,26,PROGENITOR,divideCD=2;divideFlag=1
CANCER,116,23,24,27,PROGENITOR,divideCD=2;divideFlag=1
CANCER,117,23,26,28,PROGENITOR,divideCD=2;divideFlag=1
CANCER,118,24,26,31,PROGENITOR,divideCD=2;divideFlag=1
CANCER,119,21,26,21,PROGENITOR,divideCD=2;divideFlag=1
CANCER,120,22,27,23,PROGENITOR,divideCD=2;divideFlag=1
CANCER,121,23,26,23,PROGENITOR,divideCD=2;divideFlag=1
CANCER,122,23,26,24,PROGENITOR,divideCD=2;divideFlag=1
CANCER,123,23,26,25,PROGENITOR,divideCD=2;divideFlag=1
CANCER,124,23,26,27,PROGENITOR,divideCD=2;divideFlag=1
CANCER,125,23,26,29,PROGENITOR,divideCD=2;divideFlag=1
CANCER,126,23,27,29,PROGENITOR,divideCD=2;divideFlag=1
CANCER,127,23,25,32,PROGENITOR,divideCD=2;divideFlag=1
