agent_type,agent_id,x,y,z,cell_state,additional_info
CANCER,1,19,27,24,PROGENITOR,divideCD=0;divideFlag=1
CANCER,2,20,20,22,PROGENITOR,divideCD=0;divideFlag=1
CANCER,3,20,21,22,PROGENITOR,divideCD=0;divideFlag=1
CANCER,4,21,20,25,PROGENITOR,divideCD=0;divideFlag=1
CANCER,5,22,23,26,PROGENITOR,divideCD=0;divideFlag=1
CANCER,6,19,21,26,PROGENITOR,divideCD=0;divideFlag=1
CANCER,7,20,21,28,PROGENITOR,divideCD=0;divideFlag=1
CANCER,8,21,24,25,PROGENITOR,divideCD=0;divideFlag=1
CANCER,9,20,24,21,PROGENITOR,divideCD=0;divideFlag=1
CANCER,10,18,24,22,PROGENITOR,divideCD=0;divideFlag=1
CANCER,11,18,22,27,PROGENITOR,divideCD=0;divideFlag=1
CANCER,12,20,24,30,PROGENITOR,divideCD=0;divideFlag=1
CANCER,13,22,27,21,PROGENITOR,divideCD=0;divideFlag=1
CANCER,14,21,26,23,PROGENITOR,divideCD=0;divideFlag=1
CANCER,15,18,28,24,PROGENITOR,divideCD=0;divideFlag=1
CANCER,16,22,25,24,PROGENITOR,divideCD=0;divideFlag=1
CANCER,17,18,27,27,PROGENITOR,divideCD=0;divideFlag=1
CANCER,18,20,22,29,PROGENITOR,divideCD=0;divideFlag=1
CANCER,19,22,27,27,PROGENITOR,divideCD=0;divideFlag=1
CANCER,20,21,24,23,PROGENITOR,divideCD=0;divideFlag=1
CANCER,21,20,25,27,PROGENITOR,divideCD=0;divideFlag=1
CANCER,22,18,25,23,PROGENITOR,divideCD=0;divideFlag=1
CANCER,23,17,26,28,PROGENITOR,divideCD=0;divideFlag=1
CANCER,24,19,26,28,PROGENITOR,divideCD=0;divideFlag=1
CANCER,25,19,30,24,PROGENITOR,divideCD=0;divideFlag=1
CANCER,26,21,28,23,PROGENITOR,divideCD=0;divideFlag=1
CANCER,27,18,28,25,PROGENITOR,divideCD=0;divideFlag=1
CANCER,28,20,24,27,PROGENITOR,divideCD=0;divideFlag=1
CANCER,29,21,29,27,PROGENITOR,divideCD=0;divideFlag=1
CANCER,30,22,30,26,PROGENITOR,divideCD=0;divideFlag=1
CANCER,31,21,20,26,PROGENITOR,divideCD=0;divideFlag=1
CANCER,32,20,23,22,PROGENITOR,divideCD=0;divideFlag=1
CANCER,33,25,20,23,PROGENITOR,divideCD=0;divideFlag=1
CANCER,34,20,23,25,PROGENITOR,divideCD=0;divideFlag=1
CANCER,35,21,18,27,PROGENITOR,divideCD=0;divideFlag=1
CANCER,36,20,21,26,PROGENITOR,divideCD=0;divideFlag=1
CANCER,37,22,22,21,PROGENITOR,divideCD=0;divideFlag=1
CANCER,38,17,21,24,PROGENITOR,divideCD=0;divideFlag=1
CANCER,39,21,22,24,PROGENITOR,divideCD=0;divideFlag=1
CANCER,40,21,25,25,PROGENITOR,divideCD=0;divideFlag=1
CANCER,41,21,23,26,PROGENITOR,divideCD=0;divideFlag=1
CANCER,42,21,23,28,PROGENITOR,divideCD=0;divideFlag=1
CANCER,43,24,22,28,PROGENITOR,divideCD=0;divideFlag=1
CANCER,44,23,24,20,PROGENITOR,divideCD=0;divideFlag=1
CANCER,45,23,27,23,PROGENITOR,divideCD=0;divideFlag=1
CANCER,46,22,24,23,PROGENITOR,divideCD=0;divideFlag=1
CANCER,47,18,24,25,PROGENITOR,divideCD=0;divideFlag=1
