time,agentCount.CD8.effector,agentCount.CD8.cytotoxic,agentCount.CD8.suppressed,agentCount.Th.default,agentCount.Treg.default,agentCount.MDSC.default,agentCount.cancerCell.Stem,agentCount.cancerCell.Progenitor,agentCount.cancerCell.Senescent,agentCount.mac.M1,agentCount.mac.M2,agentCount.vas.tip,agentCount.vas.phalanx,agentCount.vas.default,agentCount.fib.normal,agentCount.fib.CAFs,agentCount.APC.native,agentCount.APC.mature,recruit.CD8.effector,recruit.CD8.cytotoxic,recruit.CD8.suppressed,recruit.Th.default,recruit.Treg.default,recruit.MDSC.default,recruit.cancerCell.Stem,recruit.cancerCell.Progenitor,recruit.cancerCell.Senescent,recruit.mac.M1,recruit.mac.M2,recruit.vas.tip,recruit.vas.phalanx,recruit.vas.default,recruit.fib.normal,recruit.fib.CAFs,recruit.APC.native,recruit.APC.mature,prolif.CD8.effector,prolif.CD8.cytotoxic,prolif.CD8.suppressed,prolif.Th.default,prolif.Treg.default,prolif.MDSC.default,prolif.cancerCell.Stem,prolif.cancerCell.Progenitor,prolif.cancerCell.Senescent,prolif.mac.M1,prolif.mac.M2,prolif.vas.tip,prolif.vas.phalanx,prolif.vas.default,prolif.fib.normal,prolif.fib.CAFs,prolif.APC.native,prolif.APC.mature,death.CD8.effector,death.CD8.cytotoxic,death.CD8.suppressed,death.Th.default,death.Treg.default,death.MDSC.default,death.cancerCell.Stem,death.cancerCell.Progenitor,death.cancerCell.Senescent,death.mac.M1,death.mac.M2,death.vas.tip,death.vas.phalanx,death.vas.default,death.fib.normal,death.fib.CAFs,death.APC.native,death.APC.mature,move.CD8.effector,move.CD8.cytotoxic,move.CD8.suppressed,move.Th.default,move.Treg.default,move.MDSC.default,move.cancerCell.Stem,move.cancerCell.Progenitor,move.cancerCell.Senescent,move.mac.M1,move.mac.M2,move.vas.tip,move.vas.phalanx,move.vas.default,move.fib.normal,move.fib.CAFs,move.APC.native,move.APC.mature,drop_in.CD8.effector,drop_in.CD8.cytotoxic,drop_in.CD8.suppressed,drop_in.Th.default,drop_in.Treg.default,drop_in.MDSC.default,drop_in.cancerCell.Stem,drop_in.cancerCell.Progenitor,drop_in.cancerCell.Senescent,drop_in.mac.M1,drop_in.mac.M2,drop_in.vas.tip,drop_in.vas.phalanx,drop_in.vas.default,drop_in.fib.normal,drop_in.fib.CAFs,drop_in.APC.native,drop_in.APC.mature,drop_out.CD8.effector,drop_out.CD8.cytotoxic,drop_out.CD8.suppressed,drop_out.Th.default,drop_out.Treg.default,drop_out.MDSC.default,drop_out.cancerCell.Stem,drop_out.cancerCell.Progenitor,drop_out.cancerCell.Senescent,drop_out.mac.M1,drop_out.mac.M2,drop_out.vas.tip,drop_out.vas.phalanx,drop_out.vas.default,drop_out.fib.normal,drop_out.fib.CAFs,drop_out.APC.native,drop_out.APC.mature,PDL1_frac
69,28,5267,984,2626,1503,132,162,38903,23638,1482,386,9,0,279,0,7445,0,0,912,0,0,344,0,42,0,0,0,1249,0,0,0,0,0,0,0,0,0,7459,0,5759,1221,0,75,683732,0,0,0,9,0,249,0,0,0,0,30,1721,341,2121,1333,63,72,6351,659076,665,488,0,0,0,0,0,0,0,22247,1000243,118548,1298937,507321,31925,44183,2198246,1184786,247947,162646,249,0,0,11402,220891,0,0,0,0,0,259,0,153,159,29846,14390,0,1772,0,0,30,4467,2978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64703
70,28,5289,987,2608,1495,132,162,38037,23770,1486,387,9,0,281,0,7445,0,0,918,0,0,347,0,42,0,0,0,1260,0,0,0,0,0,0,0,0,0,7541,0,5780,1224,0,75,688988,0,0,0,9,0,251,0,0,0,0,31,1767,357,2150,1357,63,72,6453,664964,669,490,0,0,0,0,0,0,0,22405,1017537,121858,1307061,511592,32178,44601,2217347,1196720,250854,163385,251,0,0,11402,223057,0,0,0,0,0,259,0,153,159,29846,14390,0,1772,0,0,30,4467,2978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63974
71,29,5322,992,2591,1496,133,163,37048,23316,1488,386,9,0,285,0,7445,0,0,927,0,0,350,0,43,0,0,0,1270,0,0,0,0,0,0,0,0,0,7623,0,5811,1232,0,77,693527,0,0,0,9,0,255,0,0,0,0,32,1802,373,2182,1383,63,73,6555,670844,678,490,0,0,0,0,0,0,0,22733,1033971,124958,1315250,516057,32438,45002,2236038,1208748,253764,164104,255,0,0,11402,225098,0,0,0,0,0,259,0,153,159,29846,14390,0,1772,0,0,30,4467,2978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62534
72,28,5419,997,2571,1500,133,164,38157,21844,1486,382,9,0,288,0,7445,0,0,935,0,0,350,0,44,0,0,0,1278,0,0,0,0,0,0,0,0,0,7763,0,5849,1240,0,79,699095,0,0,0,9,0,258,0,0,0,0,32,1836,386,2219,1408,64,74,6646,676684,687,495,0,0,0,0,0,0,0,22854,1049526,127932,1322766,520108,32703,45429,2254561,1220551,256605,164841,258,0,0,11402,227137,0,0,0,0,0,259,0,153,159,29846,14390,0,1772,0,0,30,4467,2978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62166
73,24,5462,1012,2564,1496,131,164,37643,22651,1484,380,9,0,290,0,7445,0,0,940,0,0,353,0,44,0,0,0,1284,0,0,0,0,0,0,0,0,0,7871,0,5884,1248,0,79,704745,0,0,0,9,0,260,0,0,0,0,32,1887,394,2251,1433,66,74,6738,681949,693,499,0,0,0,0,0,0,0,22993,1063767,130474,1329491,523854,32996,45830,2273483,1231706,259539,165598,260,0,0,11402,229020,0,0,0,0,0,259,0,153,159,29846,14390,0,1772,0,0,30,4467,2978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62453
74,19,5477,1017,2578,1490,130,165,36835,21352,1487,378,9,0,295,0,7445,0,0,946,0,0,357,0,44,0,0,0,1295,0,0,0,0,0,0,0,0,0,7938,0,5928,1253,0,80,708380,0,0,0,9,0,265,0,0,0,0,34,1930,407,2273,1456,67,74,6835,687594,701,501,0,0,0,0,0,0,0,23159,1076666,132874,1335755,527283,33268,46237,2292532,1243282,262395,166316,265,0,0,11402,230946,0,0,0,0,0,259,0,153,159,29846,14390,0,1772,0,0,30,4467,2978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60347
75,23,5510,1036,2594,1483,130,165,40048,19329,1488,377,9,0,298,0,7445,0,0,954,0,0,358,0,44,0,0,0,1304,0,0,0,0,0,0,0,0,0,8029,0,5986,1258,0,80,714839,0,0,0,9,0,268,0,0,0,0,34,1964,416,2306,1478,67,74,6929,692769,710,501,0,0,0,0,0,0,0,23280,1089201,135018,1341809,530655,33550,46642,2311037,1254290,265389,167064,268,0,0,11402,232925,0,0,0,0,0,259,0,153,159,29846,14390,0,1772,0,0,30,4467,2978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61537
76,23,5508,1033,2579,1464,129,164,39146,20676,1488,373,9,0,302,0,7445,0,0,960,0,0,360,0,44,0,0,0,1312,0,0,0,0,0,0,0,0,0,8092,0,6004,1261,0,80,719977,0,0,0,9,0,272,0,0,0,0,34,2018,436,2335,1506,68,75,6999,697392,718,505,0,0,0,0,0,0,0,23480,1101231,136724,1347918,533583,33843,47067,2331335,1264149,268396,167810,272,0,0,11402,234869,0,0,0,0,0,259,0,153,159,29846,14390,0,1772,0,0,30,4467,2978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61976
77,23,5531,1038,2562,1451,128,164,38965,20201,1488,369,9,0,303,0,7445,0,0,969,0,0,365,0,44,0,0,0,1321,0,0,0,0,0,0,0,0,0,8177,0,6032,1263,0,81,724607,0,0,0,9,0,273,0,0,0,0,34,2069,451,2370,1536,69,76,7088,702589,729,507,0,0,0,0,0,0,0,23702,1111655,138468,1352977,536216,34141,47501,2351079,1274669,271455,168575,273,0,0,11402,236814,0,0,0,0,0,259,0,153,159,29846,14390,0,1772,0,0,30,4467,2978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61315
78,25,5533,1054,2550,1445,127,164,38934,20233,1487,365,9,0,305,0,7445,0,0,974,0,0,367,0,44,0,0,0,1326,0,0,0,0,0,0,0,0,0,8257,0,6056,1269,0,81,729614,0,0,0,9,0,275,0,0,0,0,34,2119,466,2396,1560,70,76,7156,707527,738,508,0,0,0,0,0,0,0,23775,1123432,140577,1358200,538984,34417,47929,2370782,1285008,274562,169357,275,0,0,11402,238835,0,0,0,0,0,259,0,153,159,29846,14390,0,1772,0,0,30,4467,2978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61310
79,25,5539,1070,2516,1443,127,163,39843,21104,1486,362,9,0,309,0,7445,0,0,983,0,0,370,0,45,0,0,0,1332,0,0,0,0,0,0,0,0,0,8333,0,6068,1277,0,81,736439,0,0,0,9,0,279,0,0,0,0,35,2169,478,2427,1588,71,77,7206,712522,746,510,0,0,0,0,0,0,0,23962,1133639,142495,1363250,541475,34696,48343,2390846,1295459,277644,170121,279,0,0,11402,240854,0,0,0,0,0,259,0,153,159,29846,14390,0,1772,0,0,30,4467,2978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63085
80,27,5583,1076,2506,1435,127,164,36453,23315,1485,357,9,0,309,0,7445,0,0,990,0,0,373,0,45,0,0,0,1339,0,0,0,0,0,0,0,0,0,8437,0,6096,1284,0,82,740535,0,0,0,9,0,279,0,0,0,0,35,2211,495,2455,1616,71,77,7266,717737,755,514,0,0,0,0,0,0,0,24069,1146298,144761,1369068,544506,34954,48755,2411092,1306262,280673,170847,279,0,0,11402,242733,0,0,0,0,0,259,0,153,159,29846,14390,0,1772,0,0,30,4467,2978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61901
81,24,5588,1090,2490,1424,126,165,39687,20756,1490,354,9,0,311,0,7445,0,0,993,0,0,376,0,45,0,0,0,1349,0,0,0,0,0,0,0,0,0,8516,0,6124,1290,0,84,747168,0,0,0,9,0,281,0,0,0,0,35,2265,507,2488,1647,72,78,7345,723616,761,516,0,0,0,0,0,0,0,24202,1161981,147794,1376520,548256,35191,49176,2429614,1318347,283767,171582,281,0,0,11402,244838,0,0,0,0,0,259,0,153,159,29846,14390,0,1772,0,0,30,4467,2978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62578
82,24,5638,1092,2463,1414,127,165,38529,22307,1487,354,9,0,312,0,7445,0,0,1001,0,0,378,0,46,0,0,0,1356,0,0,0,0,0,0,0,0,0,8630,0,6136,1294,0,84,752548,0,0,0,9,0,282,0,0,0,0,35,2318,524,2516,1674,72,78,7405,728543,771,516,0,0,0,0,0,0,0,24365,1176576,150626,1383536,551968,35460,49583,2449586,1329032,286865,172297,282,0,0,11402,246841,0,0,0,0,0,259,0,153,159,29846,14390,0,1772,0,0,30,4467,2978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62969
83,20,5660,1085,2472,1404,126,164,36737,22602,1492,350,9,0,314,0,7445,0,0,1007,0,0,378,0,46,0,0,0,1365,0,0,0,0,0,0,0,0,0,8691,0,6182,1301,0,84,756698,0,0,0,9,0,284,0,0,0,0,36,2354,543,2544,1700,73,79,7471,734124,778,517,0,0,0,0,0,0,0,24564,1190885,153336,1389664,555385,35712,49995,2468889,1340681,289883,172994,284,0,0,11402,248914,0,0,0,0,0,259,0,153,159,29846,14390,0,1772,0,0,30,4467,2978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61471
84,21,5683,1090,2442,1405,126,165,37291,20446,1493,342,9,0,316,0,7445,0,0,1014,0,0,380,0,46,0,0,0,1370,0,0,0,0,0,0,0,0,0,8766,0,6198,1309,0,85,760775,0,0,0,9,0,286,0,0,0,0,37,2392,557,2577,1722,73,79,7530,739744,786,521,0,0,0,0,0,0,0,24673,1203361,155633,1395294,558634,35987,50402,2487543,1352394,293025,173670,286,0,0,11402,251008,0,0,0,0,0,259,0,153,159,29846,14390,0,1772,0,0,30,4467,2978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59863
85,22,5704,1084,2432,1413,125,165,40453,18479,1496,345,9,0,320,0,7445,0,0,1021,0,0,383,0,46,0,0,0,1380,0,0,0,0,0,0,0,0,0,8848,0,6226,1320,0,85,766976,0,0,0,9,0,290,0,0,0,0,37,2441,581,2597,1746,74,79,7587,744693,790,521,0,0,0,0,0,0,0,24743,1215390,157772,1400192,561251,36209,50831,2506386,1362893,296083,174310,290,0,0,11402,253138,0,0,0,0,0,259,0,153,159,29846,14390,0,1772,0,0,30,4467,2978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61063
86,25,5717,1092,2414,1410,125,164,37241,21939,1500,349,9,0,322,0,7445,0,0,1028,0,0,385,0,46,0,0,0,1394,0,0,0,0,0,0,0,0,0,8936,0,6246,1328,0,85,771641,0,0,0,9,0,292,0,0,0,0,37,2497,596,2627,1767,74,80,7650,749047,795,522,0,0,0,0,0,0,0,24910,1227495,160052,1405116,564140,36449,51240,2526930,1372477,299120,175011,292,0,0,11402,255310,0,0,0,0,0,259,0,153,159,29846,14390,0,1772,0,0,30,4467,2978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61318
87,25,5728,1098,2404,1399,123,164,40940,19194,1504,351,9,0,327,0,7445,0,0,1032,0,0,387,0,46,0,0,0,1406,0,0,0,0,0,0,0,0,0,9022,0,6278,1334,0,85,778358,0,0,0,9,0,297,0,0,0,0,37,2552,614,2659,1796,76,80,7714,754746,799,524,0,0,0,0,0,0,0,24978,1240015,162336,1410112,567248,36704,51680,2545563,1383760,302139,175692,297,0,0,11402,257334,0,0,0,0,0,259,0,153,159,29846,14390,0,1772,0,0,30,4467,2978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62276
88,24,5728,1100,2395,1410,124,164,36476,23905,1502,354,9,0,331,0,7445,0,0,1037,0,0,393,0,47,0,0,0,1419,0,0,0,0,0,0,0,0,0,9097,0,6308,1342,0,85,783260,0,0,0,9,0,301,0,0,0,0,37,2610,635,2683,1814,76,80,7774,759341,808,527,0,0,0,0,0,0,0,25042,1253986,164771,1415609,570226,36939,52113,2566517,1393680,305212,176415,301,0,0,11402,259439,0,0,0,0,0,259,0,153,159,29846,14390,0,1772,0,0,30,4467,2978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62525
89,24,5763,1091,2362,1420,124,164,38310,20692,1499,355,9,0,334,0,7445,0,0,1043,0,0,395,0,47,0,0,0,1426,0,0,0,0,0,0,0,0,0,9192,0,6326,1354,0,85,788053,0,0,0,9,0,304,0,0,0,0,37,2665,655,2717,1835,76,80,7849,765438,817,527,0,0,0,0,0,0,0,25173,1268896,167067,1421273,573468,37202,52517,2585162,1406114,308292,177117,304,0,0,11402,261580,0,0,0,0,0,259,0,153,159,29846,14390,0,1772,0,0,30,4467,2978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61144
90,25,5782,1083,2341,1413,124,166,38435,20767,1505,343,9,0,336,0,7445,0,0,1050,0,0,395,0,47,0,0,0,1431,0,0,0,0,0,0,0,0,0,9269,0,6349,1357,0,87,793168,0,0,0,9,0,306,0,0,0,0,37,2715,677,2745,1861,76,80,7921,770281,824,531,0,0,0,0,0,0,0,25327,1285476,170228,1428034,577306,37472,52931,2604739,1416865,311385,177829,306,0,0,11402,263755,0,0,0,0,0,259,0,153,159,29846,14390,0,1772,0,0,30,4467,2978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61340
91,25,5771,1091,2321,1402,124,165,37292,21355,1499,338,9,0,338,0,7445,0,0,1063,0,0,396,0,47,0,0,0,1433,0,0,0,0,0,0,0,0,0,9329,0,6365,1361,0,87,797729,0,0,0,9,0,308,0,0,0,0,38,2779,688,2771,1887,76,81,7979,775339,836,532,0,0,0,0,0,0,0,25567,1301376,173281,1434460,580964,37746,53352,2624162,1427714,314446,178519,308,0,0,11402,265850,0,0,0,0,0,259,0,153,159,29846,14390,0,1772,0,0,30,4467,2978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60773
92,23,5831,1075,2311,1397,124,164,37553,22159,1498,336,9,0,343,0,7445,0,0,1067,0,0,398,0,47,0,0,0,1436,0,0,0,0,0,0,0,0,0,9445,0,6388,1365,0,87,804118,0,0,0,9,0,313,0,0,0,0,38,2831,714,2789,1913,76,82,8027,780615,841,533,0,0,0,0,0,0,0,25672,1316364,176257,1440695,584122,38010,53795,2643242,1438809,317585,179178,313,0,0,11402,267882,0,0,0,0,0,259,0,153,159,29846,14390,0,1772,0,0,30,4467,2978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61834
93,25,5818,1074,2325,1392,124,168,35531,22908,1507,326,9,0,348,0,7445,0,0,1074,0,0,400,0,47,0,0,0,1444,0,0,0,0,0,0,0,0,0,9515,0,6435,1366,0,91,808374,0,0,0,9,0,318,0,0,0,0,39,2894,739,2809,1934,76,82,8079,786092,847,536,0,0,0,0,0,0,0,25823,1331674,178673,1447155,587964,38297,54224,2662474,1450372,320769,179833,318,0,0,11402,269887,0,0,0,0,0,259,0,153,159,29846,14390,0,1772,0,0,30,4467,2978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60564
94,23,5831,1087,2308,1381,125,170,39507,19994,1509,323,9,0,352,0,7445,0,0,1079,0,0,403,0,48,0,0,0,1453,0,0,0,0,0,0,0,0,0,9605,0,6447,1373,0,93,815160,0,0,0,9,0,322,0,0,0,0,39,2956,748,2833,1960,76,82,8143,791752,855,538,0,0,0,0,0,0,0,25957,1345851,180973,1453297,591245,38584,54663,2680885,1462279,323937,180485,322,0,0,11402,271911,0,0,0,0,0,259,0,153,159,29846,14390,0,1772,0,0,30,4467,2978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61628
95,21,5817,1086,2306,1382,125,170,37021,22355,1508,322,9,0,354,0,7445,0,0,1084,0,0,407,0,49,0,0,0,1461,0,0,0,0,0,0,0,0,0,9662,0,6485,1378,0,93,819764,0,0,0,9,0,324,0,0,0,0,40,3012,770,2859,1982,77,82,8205,796419,865,538,0,0,0,0,0,0,0,26079,1359231,183141,1458801,594307,38859,55121,2701466,1472812,327027,181099,324,0,0,11402,273925,0,0,0,0,0,259,0,153,159,29846,14390,0,1772,0,0,30,4467,2978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61501
96,26,5823,1097,2287,1380,124,170,36590,21790,1517,313,9,0,356,0,7445,0,0,1091,0,0,409,0,49,0,0,0,1472,0,0,0,0,0,0,0,0,0,9760,0,6511,1383,0,93,824338,0,0,0,9,0,326,0,0,0,0,40,3080,785,2891,2004,78,82,8264,801930,875,539,0,0,0,0,0,0,0,26174,1371349,185022,1463733,597054,39147,55584,2720599,1484678,330128,181743,326,0,0,11402,276033,0,0,0,0,0,259,0,153,159,29846,14390,0,1772,0,0,30,4467,2978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60504
97,27,5806,1091,2273,1378,124,172,36266,20019,1515,315,9,0,359,0,7445,0,0,1096,0,0,412,0,49,0,0,0,1482,0,0,0,0,0,0,0,0,0,9810,0,6535,1389,0,95,827546,0,0,0,9,0,329,0,0,0,0,40,3136,806,2914,2030,78,82,8326,807171,884,540,0,0,0,0,0,0,0,26291,1383840,187251,1469107,600036,39420,56015,2739454,1496069,333227,182340,329,0,0,11402,278277,0,0,0,0,0,259,0,153,159,29846,14390,0,1772,0,0,30,4467,2978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58411
98,32,5754,1096,2264,1367,124,172,41145,16656,1516,322,9,0,363,0,7445,0,0,1107,0,0,416,0,49,0,0,0,1497,0,0,0,0,0,0,0,0,0,9849,0,6558,1396,0,95,833939,0,0,0,9,0,333,0,0,0,0,40,3210,824,2939,2059,78,82,8380,811994,890,541,0,0,0,0,0,0,0,26510,1396630,189353,1474671,603099,39700,56479,2758494,1506645,336303,182936,333,0,0,11402,280448,0,0,0,0,0,259,0,153,159,29846,14390,0,1772,0,0,30,4467,2978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59935
99,30,5801,1098,2238,1354,124,172,38833,20854,1522,314,9,0,367,0,7445,0,0,1114,0,0,420,0,49,0,0,0,1502,0,0,0,0,0,0,0,0,0,9971,0,6572,1402,0,95,839634,0,0,0,9,0,337,0,0,0,0,41,3270,845,2971,2090,78,82,8425,815758,894,544,0,0,0,0,0,0,0,26720,1409351,191463,1480075,606174,39966,56943,2779820,1515511,339367,183573,337,0,0,11402,282493,0,0,0,0,0,259,0,153,159,29846,14390,0,1772,0,0,30,4467,2978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61819
100,28,5795,1115,2228,1337,124,171,39984,20606,1525,314,9,0,369,0,7445,0,0,1118,0,0,421,0,49,0,0,0,1514,0,0,0,0,0,0,0,0,0,10047,0,6598,1409,0,95,845903,0,0,0,9,0,339,0,0,0,0,41,3327,859,2997,2125,78,83,8473,821076,900,547,0,0,0,0,0,0,0,26837,1423099,194070,1485238,609468,40236,57402,2799928,1526514,342507,184195,339,0,0,11402,284453,0,0,0,0,0,259,0,153,159,29846,14390,0,1772,0,0,30,4467,2978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62724
101,27,5814,1116,2214,1333,122,173,35550,24369,1527,316,9,0,371,0,7445,0,0,1124,0,0,424,0,49,0,0,0,1523,0,0,0,0,0,0,0,0,0,10125,0,6619,1417,0,97,850272,0,0,0,9,0,341,0,0,0,0,41,3371,880,3025,2147,80,83,8508,826081,905,547,0,0,0,0,0,0,0,26970,1436710,196661,1490784,612463,40524,57848,2820800,1537380,345676,184831,341,0,0,11402,286365,0,0,0,0,0,259,0,153,159,29846,14390,0,1772,0,0,30,4467,2978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62057
102,25,5828,1116,2211,1327,121,172,38815,20629,1533,308,9,0,373,0,7445,0,0,1133,0,0,427,0,49,0,0,0,1528,0,0,0,0,0,0,0,0,0,10205,0,6657,1421,0,97,855977,0,0,0,9,0,343,0,0,0,0,41,3429,899,3057,2169,81,84,8542,832227,910,549,0,0,0,0,0,0,0,27182,1449792,199120,1495859,615377,40805,58312,2839404,1550209,348798,185447,343,0,0,11402,288286,0,0,0,0,0,259,0,153,159,29846,14390,0,1772,0,0,30,4467,2978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61578
103,25,5815,1122,2202,1319,121,172,37841,21485,1538,304,9,0,376,0,7445,0,0,1139,0,0,429,0,49,0,0,0,1535,0,0,0,0,0,0,0,0,0,10273,0,6684,1426,0,97,860904,0,0,0,9,0,346,0,0,0,0,42,3494,914,3082,2195,81,84,8589,837225,915,550,0,0,0,0,0,0,0,27318,1463258,201392,1500838,618019,41070,58780,2859619,1561105,351978,186070,346,0,0,11402,290131,0,0,0,0,0,259,0,153,159,29846,14390,0,1772,0,0,30,4467,2978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61461
104,27,5810,1116,2187,1309,120,173,38558,20278,1541,299,9,0,377,0,7445,0,0,1144,0,0,432,0,49,0,0,0,1540,0,0,0,0,0,0,0,0,0,10350,0,6702,1428,0,99,865763,0,0,0,9,0,347,0,0,0,0,42,3552,947,3104,2221,82,85,8637,842526,918,554,0,0,0,0,0,0,0,27412,1475786,203873,1505547,620798,41334,59219,2879440,1572509,355178,186734,347,0,0,11402,292043,0,0,0,0,0,259,0,153,159,29846,14390,0,1772,0,0,30,4467,2978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60969
105,26,5790,1121,2184,1306,119,172,38349,21580,1541,299,9,0,379,0,7445,0,0,1148,0,0,436,0,49,0,0,0,1549,0,0,0,0,0,0,0,0,0,10422,0,6735,1435,0,99,871742,0,0,0,9,0,349,0,0,0,0,42,3625,966,3128,2247,83,86,8667,847382,925,556,0,0,0,0,0,0,0,27515,1490345,206170,1510458,623753,41584,59661,2899564,1583224,358420,187352,349,0,0,11402,293904,0,0,0,0,0,259,0,153,159,29846,14390,0,1772,0,0,30,4467,2978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62060
106,27,5800,1130,2177,1297,118,174,35705,22636,1535,299,9,0,384,0,7445,0,0,1153,0,0,437,0,49,0,0,0,1555,0,0,0,0,0,0,0,0,0,10509,0,6770,1441,0,101,875554,0,0,0,9,0,354,0,0,0,0,42,3682,981,3154,2279,84,86,8711,852738,937,556,0,0,0,0,0,0,0,27659,1503745,208536,1515512,626551,41835,60116,2919431,1594675,361622,187934,354,0,0,11402,295855,0,0,0,0,0,259,0,153,159,29846,14390,0,1772,0,0,30,4467,2978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60467
107,26,5762,1138,2182,1289,116,174,39907,18980,1527,299,9,0,385,0,7445,0,0,1154,0,0,439,0,49,0,0,0,1563,0,0,0,0,0,0,0,0,0,10553,0,6804,1448,0,101,881792,0,0,0,9,0,355,0,0,0,0,42,3740,999,3175,2304,86,86,8771,858370,952,557,0,0,0,0,0,0,0,27725,1518950,211425,1521306,629579,42097,60568,2937960,1606615,364850,188568,355,0,0,11402,297842,0,0,0,0,0,259,0,153,159,29846,14390,0,1772,0,0,30,4467,2978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61003
108,25,5720,1145,2189,1284,115,174,39306,20571,1533,296,9,0,388,0,7445,0,0,1159,0,0,442,0,49,0,0,0,1572,0,0,0,0,0,0,0,0,0,10602,0,6849,1452,0,101,887332,0,0,0,9,0,358,0,0,0,0,43,3813,1015,3202,2327,87,86,8806,862885,957,558,0,0,0,0,0,0,0,27862,1532151,214498,1526621,632643,42353,61060,2958922,1616699,368055,189196,358,0,0,11402,299814,0,0,0,0,0,259,0,153,159,29846,14390,0,1772,0,0,30,4467,2978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61995
109,29,5707,1145,2178,1272,115,174,38735,21788,1531,293,9,0,390,0,7445,0,0,1166,0,0,444,0,49,0,0,0,1579,0,0,0,0,0,0,0,0,0,10669,0,6874,1457,0,101,893046,0,0,0,9,0,360,0,0,0,0,43,3879,1032,3231,2353,87,86,8839,867920,968,559,0,0,0,0,0,0,0,27997,1543885,217014,1531681,635189,42600,61507,2979593,1627644,371257,189835,360,0,0,11402,301714,0,0,0,0,0,259,0,153,159,29846,14390,0,1772,0,0,30,4467,2978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62636
110,29,5716,1135,2169,1257,115,175,36452,22165,1528,290,9,0,392,0,7445,0,0,1175,0,0,445,0,49,0,0,0,1586,0,0,0,0,0,0,0,0,0,10754,0,6896,1459,0,102,896670,0,0,0,9,0,362,0,0,0,0,45,3947,1057,3252,2381,87,86,8904,873385,979,561,0,0,0,0,0,0,0,28269,1569220,221467,1541500,640585,42868,61982,2999876,1639140,374423,190469,362,0,0,11402,303582,0,0,0,0,0,259,0,153,159,29846,14390,0,1772,0,0,30,4467,2978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60725
